43s	92s	73s	65o	Q2o	J4o	83s	75o	52s	85o	82s	T5o	95o	J3o	62s	54o	42s	T4o	J2o	72s	64o	T3o	32s	74o	84o	T2o
0,330110	0,374398	0,381960	0,413557	0,557820	0,696473	0,372069	0,407897	0,389946	0,399782	0,373678	0,526612	0,393317	0,563103	0,379903	0,312159	0,315242	0,475008	0,559256	0,370180	0,300051	0,442912	0,357956	0,286407	0,272180	0,439890
0,332049	0,403733	0,312866	0,444361	0,357447	0,403103	0,298322	0,438120	0,419240	0,430619	0,403656	0,406970	0,418354	0,252420	0,408253	0,440551	0,415484	0,406492	0,360899	0,400686	0,430938	0,256225	0,305745	0,424698	0,417196	0,364288
0,435482	0,293047	0,424705	0,425116	0,705835	0,506156	0,411222	0,421987	0,321146	0,407979	0,295798	0,385927	0,396923	0,502813	0,306263	0,424786	0,317314	0,385476	0,474853	0,296564	0,412496	0,381687	0,313412	0,409368	0,395359	0,248105
0,406951	0,547122	0,533572	0,600306	0,521374	0,640292	0,539263	0,615456	0,458227	0,627180	0,536283	0,640414	0,644827	0,526355	0,506403	0,475006	0,401959	0,635457	0,520330	0,520245	0,590550	0,527467	0,400415	0,608256	0,617571	0,521443
0,393431	0,398097	0,402530	0,316774	0,436613	0,359314	0,395198	0,301071	0,313963	0,289685	0,397332	0,259275	0,274792	0,358028	0,401633	0,306242	0,379535	0,363636	0,356662	0,390434	0,390052	0,362350	0,378045	0,378002	0,370278	0,360984
0,384598	0,554734	0,544578	0,533223	0,529844	0,656396	0,549980	0,574892	0,411324	0,578471	0,546511	0,570583	0,576623	0,538457	0,456899	0,359947	0,377547	0,647630	0,532021	0,531250	0,475009	0,535636	0,384446	0,623944	0,632978	0,529199
0,337333	0,374401	0,314059	0,419067	0,561549	0,601567	0,300921	0,413800	0,393096	0,407817	0,377212	0,529118	0,393327	0,697994	0,383053	0,418169	0,392592	0,503408	0,562985	0,373714	0,409677	0,474947	0,313742	0,401625	0,395121	0,443176
0,497342	0,370204	0,498080	0,496770	0,330484	0,469844	0,486909	0,496991	0,383363	0,484884	0,368256	0,471774	0,478040	0,466268	0,373109	0,489217	0,377747	0,471734	0,332435	0,364712	0,484604	0,468158	0,372088	0,484867	0,472801	0,334355
0,462010	0,298989	0,453762	0,451178	0,246834	0,407118	0,438342	0,447263	0,323466	0,430670	0,298416	0,410985	0,422369	0,403046	0,310985	0,446939	0,319308	0,410506	0,250702	0,300128	0,437756	0,406434	0,315078	0,433840	0,417247	0,254507
0,365261	0,560240	0,465817	0,430825	0,536598	0,666942	0,558349	0,533939	0,399423	0,588991	0,552411	0,580748	0,586851	0,543514	0,386310	0,341291	0,347678	0,661347	0,534841	0,455714	0,325671	0,543465	0,370309	0,475009	0,646976	0,534792
0,396484	0,558201	0,423743	0,329961	0,542334	0,560044	0,556236	0,403719	0,380675	0,561874	0,549829	0,558988	0,562078	0,553243	0,337744	0,369184	0,383527	0,555225	0,543672	0,416719	0,324376	0,548424	0,381556	0,395472	0,547265	0,538853
0,437506	0,298397	0,424891	0,424970	0,702349	0,602728	0,410919	0,421835	0,325938	0,407827	0,300922	0,530276	0,396872	0,601785	0,314762	0,423679	0,325430	0,506164	0,699482	0,302161	0,415580	0,502821	0,321528	0,409661	0,395131	0,474853
0,328507	0,402008	0,406023	0,438413	0,464803	0,255462	0,399102	0,428226	0,416112	0,422793	0,400824	0,400683	0,416600	0,358992	0,405125	0,316441	0,312393	0,259267	0,357627	0,393926	0,302898	0,362381	0,378973	0,287194	0,275808	0,361015
0,397332	0,399236	0,407613	0,312031	0,591057	0,406595	0,397380	0,396317	0,384857	0,385433	0,398992	0,362722	0,374055	0,405246	0,303771	0,376517	0,383436	0,365063	0,403502	0,395516	0,294849	0,363777	0,381425	0,383484	0,372600	0,361842
0,342081	0,574117	0,384954	0,424848	0,548084	0,680726	0,464742	0,415983	0,396543	0,534697	0,464111	0,591374	0,597376	0,549174	0,383335	0,331028	0,341064	0,675651	0,549100	0,373219	0,315688	0,549646	0,367407	0,301764	0,475008	0,549572
0,341360	0,470487	0,387431	0,424329	0,558635	0,695095	0,377251	0,415775	0,398627	0,406846	0,379244	0,601964	0,535415	0,564019	0,385862	0,324077	0,326531	0,689781	0,560172	0,375650	0,311961	0,564390	0,363866	0,298317	0,284330	0,560543
0,392321	0,573022	0,390043	0,321989	0,554963	0,565483	0,422830	0,379647	0,379794	0,402546	0,422073	0,568009	0,571419	0,556358	0,334280	0,368315	0,383108	0,563677	0,556307	0,377990	0,313958	0,554551	0,381113	0,366473	0,394216	0,554501
0,395489	0,390009	0,398741	0,302007	0,578236	0,587484	0,388052	0,386785	0,382057	0,375837	0,389664	0,400151	0,364569	0,583486	0,309699	0,373580	0,381594	0,399447	0,579471	0,386644	0,300957	0,398098	0,379582	0,374430	0,363054	0,396354
0,395396	0,424656	0,392680	0,316033	0,566283	0,571676	0,382092	0,381597	0,380660	0,370331	0,383705	0,577415	0,401332	0,571642	0,320046	0,367511	0,381501	0,570330	0,567627	0,380584	0,295691	0,570296	0,380968	0,368334	0,357067	0,566281
0,417384	0,556125	0,624270	0,605433	0,533854	0,570748	0,633692	0,622575	0,467476	0,645704	0,550115	0,656381	0,645920	0,653065	0,520206	0,508146	0,443099	0,571860	0,532810	0,534077	0,548891	0,648230	0,408291	0,561484	0,565435	0,533923
0,346387	0,471702	0,323445	0,427314	0,559143	0,598368	0,310534	0,419263	0,398965	0,412859	0,380070	0,599767	0,536100	0,695034	0,386305	0,421247	0,394628	0,598739	0,560680	0,376477	0,412749	0,689720	0,326483	0,404697	0,398294	0,561051
0,336771	0,402057	0,313967	0,444785	0,468331	0,400814	0,303355	0,435027	0,419623	0,431919	0,404753	0,404681	0,416634	0,253744	0,408636	0,440975	0,415867	0,404202	0,358610	0,397849	0,431362	0,257549	0,310839	0,421604	0,418496	0,361998
0,394474	0,396560	0,404287	0,319091	0,591181	0,440772	0,394182	0,307773	0,320344	0,292945	0,396316	0,262220	0,277484	0,437966	0,399455	0,312790	0,380579	0,362167	0,436613	0,392191	0,387668	0,360880	0,379089	0,380012	0,369268	0,359515
0,391809	0,566351	0,638595	0,541885	0,542322	0,584956	0,647770	0,587299	0,422875	0,590958	0,560342	0,582616	0,588220	0,669168	0,466254	0,456700	0,421608	0,582134	0,544499	0,545080	0,508931	0,660401	0,380047	0,575014	0,578673	0,541677
0,500000	0,560457	0,625520	0,590416	0,537607	0,665153	0,637902	0,598745	0,497715	0,604777	0,554448	0,602530	0,602062	0,657221	0,521528	0,576251	0,467472	0,656366	0,536563	0,535688	0,599771	0,648765	0,459458	0,619999	0,644223	0,534455
0,439543	0,500000	0,427654	0,433217	0,699150	0,599529	0,413777	0,427298	0,338699	0,412869	0,310534	0,600928	0,537258	0,599480	0,324621	0,426757	0,334484	0,599900	0,696522	0,311547	0,418652	0,599851	0,333906	0,412732	0,398304	0,691208
0,374480	0,572346	0,500000	0,444530	0,549076	0,592221	0,660618	0,542684	0,410973	0,601479	0,566241	0,592781	0,598842	0,679713	0,397920	0,441706	0,409418	0,592171	0,547319	0,465179	0,430002	0,674118	0,348920	0,509689	0,589130	0,547270
0,409584	0,566783	0,555470	0,500000	0,548397	0,563971	0,561447	0,658731	0,387428	0,668601	0,557959	0,673260	0,671723	0,557598	0,453657	0,363710	0,398815	0,564161	0,550781	0,541765	0,437031	0,557788	0,402018	0,546188	0,552689	0,550971
0,462393	0,300850	0,450924	0,451603	0,500000	0,404829	0,439438	0,444169	0,328188	0,431969	0,303449	0,408696	0,420649	0,400757	0,315706	0,447364	0,324029	0,408217	0,252026	0,301229	0,438180	0,404145	0,319800	0,430746	0,418546	0,255831
0,334847	0,400471	0,407779	0,436029	0,595171	0,500000	0,398086	0,430235	0,417156	0,421783	0,399809	0,399213	0,415021	0,467898	0,402948	0,322697	0,318774	0,262212	0,464803	0,395683	0,305215	0,360911	0,380016	0,293896	0,279069	0,359546
0,362098	0,586223	0,339382	0,438553	0,560562	0,601914	0,500000	0,429688	0,408093	0,543515	0,473576	0,603407	0,609367	0,693497	0,394945	0,435387	0,406479	0,602386	0,561577	0,384828	0,423994	0,688422	0,342164	0,415128	0,510408	0,562050
0,401255	0,572702	0,457316	0,341269	0,555831	0,569765	0,570312	0,500000	0,358881	0,683739	0,564299	0,684583	0,686546	0,562964	0,400150	0,347104	0,388609	0,569961	0,553821	0,452744	0,390721	0,563160	0,389926	0,435858	0,561963	0,554017
0,502285	0,661301	0,589027	0,612572	0,671812	0,582844	0,591907	0,641119	0,500000	0,646825	0,647050	0,672409	0,661907	0,579333	0,608263	0,518448	0,416276	0,583957	0,665804	0,625345	0,561361	0,580446	0,415255	0,574035	0,577095	0,660969
0,395223	0,587131	0,398521	0,331399	0,568031	0,578217	0,456485	0,316261	0,353175	0,500000	0,455769	0,699411	0,701689	0,569091	0,396988	0,334263	0,386010	0,578413	0,569041	0,386468	0,386374	0,569287	0,387303	0,375175	0,434643	0,569237
0,445552	0,689466	0,433759	0,442041	0,696551	0,600191	0,526424	0,435701	0,352950	0,544231	0,500000	0,601274	0,607233	0,596263	0,338398	0,438372	0,351637	0,600664	0,693403	0,325551	0,427481	0,596735	0,347352	0,421142	0,511082	0,688328
0,397470	0,399072	0,407219	0,326740	0,591304	0,600787	0,396593	0,315417	0,327591	0,300589	0,398726	0,500000	0,285380	0,596789	0,405287	0,320208	0,383574	0,442996	0,592774	0,395122	0,393949	0,440190	0,382084	0,383132	0,371819	0,438837
0,397938	0,462742	0,401158	0,328277	0,579351	0,584979	0,390633	0,313454	0,338093	0,298311	0,392767	0,714620	0,500000	0,584945	0,399683	0,315103	0,384042	0,585066	0,580930	0,389062	0,387916	0,585031	0,383510	0,377036	0,365833	0,581017
0,342779	0,400520	0,320287	0,442402	0,599243	0,532102	0,306503	0,437036	0,420667	0,430909	0,403737	0,403211	0,415055	0,500000	0,406458	0,442110	0,416910	0,402733	0,468331	0,399606	0,428979	0,260494	0,317221	0,423613	0,417486	0,360529
0,478472	0,675379	0,602080	0,546343	0,684294	0,597052	0,605055	0,599850	0,391737	0,603012	0,661602	0,594713	0,600317	0,593542	0,500000	0,470405	0,390671	0,594231	0,681906	0,639670	0,519306	0,590720	0,389346	0,587564	0,590726	0,673139
0,423749	0,573243	0,558294	0,636290	0,552636	0,677303	0,564613	0,652896	0,481552	0,665737	0,561628	0,679792	0,684897	0,557890	0,529595	0,500000	0,418901	0,672390	0,551502	0,544589	0,623626	0,559126	0,427305	0,643017	0,653235	0,552737
0,532528	0,665516	0,590582	0,601185	0,675971	0,681226	0,593521	0,611391	0,583724	0,613990	0,648363	0,616426	0,615958	0,583090	0,609329	0,581099	0,500000	0,672397	0,669962	0,626657	0,606913	0,580981	0,471434	0,638546	0,645339	0,661506
0,343634	0,400100	0,407829	0,435839	0,591783	0,737788	0,397614	0,430039	0,416043	0,421587	0,399336	0,557004	0,414934	0,597267	0,405769	0,327610	0,327603	0,500000	0,593252	0,395732	0,314513	0,467898	0,382124	0,299753	0,284357	0,464803
0,463437	0,303478	0,452681	0,449219	0,747974	0,535197	0,438423	0,446179	0,334196	0,430959	0,306597	0,407226	0,419070	0,531669	0,318094	0,448498	0,330038	0,406748	0,500000	0,307548	0,435796	0,402676	0,325808	0,432756	0,417537	0,258776
0,464312	0,688453	0,534821	0,458235	0,698771	0,604317	0,615172	0,547256	0,374655	0,613532	0,674449	0,604878	0,610938	0,600394	0,360330	0,455411	0,373343	0,604268	0,692452	0,500000	0,443707	0,600345	0,369057	0,520137	0,601184	0,686857
0,400229	0,581348	0,569998	0,562969	0,561820	0,694785	0,576006	0,609279	0,438639	0,613626	0,572519	0,606051	0,612084	0,571021	0,480694	0,376374	0,393087	0,685487	0,564204	0,556293	0,500000	0,567864	0,410251	0,659935	0,669837	0,561046
0,351235	0,400149	0,325882	0,442212	0,595855	0,639089	0,311578	0,436840	0,419554	0,430713	0,403265	0,559810	0,414969	0,739506	0,409280	0,440874	0,419019	0,532102	0,597324	0,399655	0,432136	0,500000	0,326050	0,423751	0,417055	0,468331
0,540542	0,666094	0,651080	0,597982	0,680200	0,619984	0,657836	0,610074	0,584745	0,612697	0,652648	0,617916	0,616490	0,682779	0,610654	0,572695	0,528566	0,617876	0,674192	0,630943	0,589749	0,673950	0,500000	0,604695	0,607779	0,665736
0,380001	0,587268	0,490311	0,453812	0,569254	0,706104	0,584872	0,564142	0,425965	0,624825	0,578858	0,616868	0,622964	0,576387	0,412436	0,356983	0,361454	0,700247	0,567244	0,479863	0,340065	0,576249	0,395305	0,500000	0,684912	0,567106
0,355777	0,601696	0,410870	0,447311	0,581454	0,720931	0,489592	0,438037	0,422905	0,565357	0,488918	0,628181	0,634167	0,582514	0,409274	0,346765	0,354661	0,715643	0,582463	0,398816	0,330163	0,582945	0,392221	0,315088	0,500000	0,582895
0,465545	0,308792	0,452730	0,449029	0,744169	0,640454	0,437950	0,445983	0,339031	0,430763	0,311672	0,561163	0,418983	0,639471	0,326861	0,447263	0,338494	0,535197	0,741224	0,313143	0,438954	0,531669	0,334264	0,432894	0,417105	0,500000
0,355415	0,495899	0,413507	0,446756	0,592774	0,736384	0,402982	0,437802	0,425143	0,428461	0,405116	0,639449	0,566538	0,598368	0,411969	0,340136	0,339425	0,730843	0,594353	0,401410	0,327033	0,598690	0,388388	0,312273	0,297130	0,594675
0,434872	0,582710	0,660389	0,642159	0,566140	0,606257	0,670653	0,660960	0,491643	0,686111	0,576272	0,697005	0,685979	0,691179	0,544200	0,535924	0,472604	0,607493	0,565006	0,559226	0,581194	0,686266	0,425920	0,595346	0,600101	0,566242
0,360645	0,497179	0,335532	0,450530	0,593334	0,635743	0,321467	0,442146	0,425644	0,435559	0,406162	0,637184	0,567242	0,736392	0,412597	0,444183	0,421174	0,636065	0,594913	0,402450	0,435439	0,730851	0,339454	0,427055	0,420468	0,595235
0,407817	0,593600	0,675950	0,572716	0,575324	0,621574	0,685933	0,622529	0,450943	0,626965	0,587162	0,618960	0,624514	0,708662	0,490897	0,481903	0,449729	0,618417	0,577708	0,570930	0,537300	0,699364	0,395916	0,609811	0,614248	0,574551
0,525057	0,587405	0,661831	0,625067	0,570194	0,706179	0,675318	0,634667	0,519956	0,641659	0,580960	0,639798	0,639236	0,695661	0,545684	0,610288	0,491651	0,696993	0,569059	0,561020	0,636180	0,686808	0,481782	0,658331	0,684628	0,566777
0,467700	0,525147	0,455526	0,457348	0,740802	0,637109	0,440847	0,451288	0,352373	0,435609	0,321561	0,638550	0,568595	0,637060	0,337031	0,450572	0,347903	0,637431	0,738110	0,322793	0,442257	0,637382	0,347294	0,436197	0,420518	0,732569
0,389800	0,600041	0,525053	0,468434	0,582758	0,629231	0,699857	0,573973	0,438269	0,638164	0,593501	0,629776	0,635823	0,719980	0,424803	0,465597	0,436763	0,629093	0,580749	0,490179	0,453381	0,714123	0,362949	0,538514	0,625383	0,580610
0,377250	0,614470	0,352377	0,461932	0,594958	0,639545	0,525053	0,452659	0,435209	0,575269	0,499242	0,641089	0,647026	0,734799	0,421641	0,458745	0,433639	0,639977	0,595968	0,411183	0,446847	0,729511	0,356009	0,437574	0,539695	0,596399
0,533806	0,700346	0,616074	0,650259	0,711312	0,619245	0,619556	0,681370	0,525146	0,687229	0,685225	0,714297	0,703229	0,615561	0,643356	0,547469	0,434222	0,620481	0,705056	0,662042	0,594523	0,616797	0,433260	0,608764	0,612611	0,700143
0,474055	0,730824	0,461983	0,466293	0,738068	0,637788	0,554794	0,459773	0,367277	0,576020	0,525147	0,638903	0,644840	0,633669	0,351415	0,462536	0,365979	0,638219	0,734808	0,337417	0,451208	0,634100	0,361438	0,444688	0,540405	0,729520
0,560569	0,705020	0,617808	0,636627	0,715794	0,723512	0,621350	0,648179	0,616338	0,651527	0,686727	0,654649	0,654086	0,619614	0,644577	0,615857	0,525146	0,714285	0,709537	0,663544	0,644280	0,617332	0,494624	0,678741	0,685747	0,700684
0,508542	0,715626	0,629885	0,577920	0,724855	0,634562	0,633468	0,635947	0,408154	0,639903	0,701025	0,631948	0,637502	0,630877	0,525146	0,496541	0,407137	0,631405	0,722538	0,677603	0,548918	0,627720	0,405831	0,623230	0,627186	0,713240
0,493549	0,729789	0,563937	0,483072	0,740550	0,642219	0,644130	0,579300	0,390418	0,651102	0,714949	0,642764	0,648811	0,638106	0,374795	0,480235	0,389120	0,642081	0,733848	0,525147	0,468019	0,637967	0,384579	0,550214	0,638322	0,727992
0,568899	0,705605	0,689787	0,633499	0,720357	0,658563	0,696707	0,647084	0,617516	0,650459	0,691477	0,656321	0,654625	0,725218	0,646095	0,605524	0,556164	0,656281	0,714101	0,668286	0,624803	0,715991	0,525158	0,641490	0,645364	0,705248
