T8o	J6s	K6o	A2o	T6s	98o	76s	86s	96s	Q3s	J5s	K5o	Q7o	Q2s	J4s	33	65s	J7o	T7o	K4o	75s	T5s	Q6o	J3s	95s	87o
0,635010	0,625416	0,598818	0,564840	0,586945	0,429031	0,445228	0,437084	0,428590	0,588152	0,706635	0,700717	0,598555	0,584700	0,592819	0,512572	0,349016	0,608847	0,604199	0,562846	0,339316	0,500000	0,601015	0,589366	0,313679	0,424262
0,432680	0,296858	0,748296	0,588575	0,311594	0,441261	0,350505	0,339892	0,326043	0,436441	0,401763	0,600708	0,630563	0,434924	0,400728	0,534807	0,347117	0,410603	0,418297	0,596721	0,426849	0,398985	0,500000	0,399630	0,409347	0,432811
0,422670	0,582660	0,598173	0,572042	0,422389	0,433667	0,449436	0,446483	0,432938	0,714327	0,554387	0,601950	0,598437	0,591579	0,528734	0,633847	0,445762	0,601980	0,408487	0,601025	0,440786	0,410634	0,600370	0,500000	0,421183	0,433946
0,616244	0,615115	0,588977	0,557500	0,623827	0,634097	0,442297	0,433864	0,585870	0,577507	0,693604	0,686788	0,587781	0,574055	0,578821	0,506481	0,351012	0,598175	0,607445	0,548441	0,338351	0,686321	0,590653	0,578817	0,500000	0,421071
0,708953	0,582790	0,565142	0,545449	0,588862	0,712250	0,345166	0,399741	0,592053	0,570011	0,580385	0,559445	0,687931	0,570001	0,574482	0,492938	0,391158	0,693867	0,700714	0,552656	0,344443	0,575738	0,567189	0,566054	0,578929	0,500000
0,686217	0,604778	0,581580	0,545787	0,613586	0,675296	0,442217	0,584754	0,618775	0,563962	0,680406	0,676111	0,577483	0,563959	0,572701	0,494921	0,354439	0,587420	0,596791	0,545488	0,341533	0,673349	0,580483	0,564783	0,674560	0,602570
0,634695	0,591469	0,571069	0,558143	0,597852	0,669017	0,343909	0,406503	0,399025	0,581689	0,588562	0,564943	0,699388	0,577751	0,580527	0,505887	0,395935	0,708823	0,715986	0,555830	0,340715	0,584728	0,573122	0,580517	0,396632	0,296968
0,635787	0,623305	0,596969	0,565285	0,587599	0,435438	0,448209	0,440553	0,434528	0,588569	0,625921	0,596867	0,596295	0,585117	0,706634	0,512575	0,440088	0,606587	0,604935	0,700681	0,434729	0,550087	0,599167	0,589784	0,421049	0,427750
0,446206	0,441360	0,596978	0,613840	0,453200	0,454007	0,482207	0,475385	0,463833	0,290763	0,441105	0,562034	0,407115	0,395602	0,437439	0,677148	0,475753	0,420000	0,432821	0,532102	0,469982	0,440975	0,407277	0,294312	0,451609	0,456898
0,422674	0,584177	0,599855	0,712012	0,425841	0,433670	0,457738	0,446487	0,436390	0,629159	0,555576	0,603111	0,602886	0,715778	0,531386	0,651753	0,451594	0,606703	0,412425	0,602186	0,448704	0,414086	0,602052	0,528298	0,424635	0,433956
0,599176	0,612594	0,589732	0,531829	0,615289	0,606509	0,620376	0,620602	0,621009	0,555399	0,661995	0,658888	0,586969	0,549950	0,655055	0,498015	0,615288	0,589877	0,593238	0,651022	0,629997	0,655048	0,589349	0,554381	0,658759	0,600388
0,441130	0,431537	0,637588	0,602325	0,447150	0,447386	0,466976	0,461440	0,453479	0,468835	0,298720	0,748012	0,628570	0,467677	0,396951	0,539345	0,354013	0,409961	0,426747	0,600357	0,339534	0,300624	0,593109	0,395853	0,315073	0,438507
0,613393	0,677295	0,673881	0,537666	0,671497	0,620749	0,649462	0,659009	0,675350	0,564173	0,602549	0,574621	0,601690	0,558341	0,669941	0,503143	0,554983	0,605555	0,610221	0,663506	0,600995	0,596933	0,668869	0,566209	0,602616	0,619483
0,640519	0,624449	0,598068	0,568951	0,588800	0,435447	0,454041	0,448470	0,434532	0,711127	0,627066	0,597965	0,597914	0,588647	0,627062	0,631791	0,445537	0,608206	0,606462	0,597934	0,440561	0,552513	0,600265	0,708086	0,421053	0,436178
0,505585	0,499592	0,474060	0,341799	0,509134	0,511977	0,533006	0,521291	0,514949	0,490390	0,498545	0,469522	0,477185	0,369201	0,495327	0,804295	0,520214	0,487595	0,498016	0,465970	0,520346	0,497018	0,476013	0,492109	0,502793	0,511293
0,446263	0,445207	0,598723	0,762077	0,457047	0,454064	0,491298	0,475459	0,467680	0,434402	0,444952	0,563387	0,411565	0,289275	0,441286	0,691056	0,482189	0,424449	0,437270	0,535197	0,478654	0,444822	0,411292	0,437557	0,455455	0,456955
0,629467	0,606549	0,582284	0,546003	0,614868	0,636563	0,590889	0,622630	0,620610	0,572980	0,609655	0,582599	0,681705	0,565062	0,679640	0,505894	0,455837	0,678308	0,672618	0,674362	0,556057	0,606761	0,585121	0,571183	0,612503	0,662653
0,645765	0,696951	0,688004	0,539503	0,699289	0,653547	0,524936	0,696883	0,700297	0,575896	0,588522	0,561973	0,693701	0,567468	0,583012	0,506072	0,368270	0,706362	0,697254	0,555613	0,435821	0,580973	0,687055	0,577109	0,583822	0,694701
0,641351	0,626141	0,599750	0,708526	0,590317	0,435451	0,462342	0,448474	0,437985	0,626228	0,628269	0,599126	0,602363	0,712578	0,628265	0,649655	0,451369	0,612655	0,611184	0,599095	0,448478	0,553703	0,601947	0,627442	0,424505	0,436188
0,441152	0,435341	0,638799	0,606316	0,447181	0,456929	0,472958	0,467833	0,462108	0,496608	0,435086	0,641849	0,629918	0,493852	0,297174	0,542897	0,470136	0,413947	0,426768	0,749730	0,460733	0,434956	0,595630	0,396778	0,449884	0,445296
0,434901	0,524936	0,746138	0,588636	0,316683	0,444370	0,355355	0,344742	0,330893	0,616308	0,441920	0,600768	0,639163	0,612764	0,439664	0,536061	0,351792	0,638675	0,420523	0,596782	0,431616	0,400020	0,744814	0,438496	0,410692	0,439080
0,687295	0,616441	0,593550	0,558202	0,625203	0,693797	0,455545	0,592044	0,630849	0,575932	0,619441	0,593865	0,589454	0,575929	0,692304	0,506034	0,450464	0,599390	0,608719	0,688907	0,442095	0,617036	0,592454	0,576753	0,622683	0,607163
0,628172	0,626777	0,600948	0,569915	0,635444	0,641140	0,455625	0,447192	0,593228	0,589477	0,629394	0,600851	0,599752	0,586025	0,705502	0,517555	0,450226	0,610145	0,619372	0,699584	0,442145	0,627277	0,602623	0,590787	0,558247	0,434776
0,712982	0,707494	0,703775	0,555325	0,713055	0,713326	0,352575	0,524935	0,714345	0,579088	0,594245	0,572228	0,604463	0,579078	0,588342	0,506225	0,361021	0,615143	0,623829	0,565439	0,414875	0,589592	0,698441	0,580307	0,592751	0,635107
0,672435	0,735356	0,730183	0,575815	0,524936	0,437430	0,352060	0,338213	0,324083	0,604255	0,608928	0,583982	0,626854	0,600710	0,608918	0,525347	0,342763	0,637488	0,637494	0,583961	0,422308	0,433628	0,728859	0,605373	0,401422	0,432490
0,644206	0,721263	0,715226	0,568019	0,727104	0,671179	0,350106	0,335977	0,524935	0,593158	0,602422	0,577726	0,615412	0,589613	0,594387	0,518703	0,355634	0,626155	0,635161	0,568613	0,417095	0,598582	0,713334	0,594377	0,434347	0,429049
0,613319	0,626065	0,603563	0,544309	0,628760	0,615658	0,630774	0,632828	0,629916	0,672763	0,676845	0,674980	0,600801	0,561981	0,597245	0,608558	0,620524	0,603708	0,607069	0,572174	0,637029	0,669857	0,603180	0,666956	0,659757	0,613281
0,629784	0,624725	0,598751	0,570360	0,633392	0,641949	0,459094	0,453130	0,593911	0,708317	0,627726	0,599066	0,598076	0,586501	0,624192	0,633868	0,453207	0,608469	0,617697	0,595155	0,445614	0,625225	0,600427	0,705502	0,558890	0,441183
0,445585	0,439163	0,640085	0,610325	0,451003	0,456969	0,479369	0,476482	0,462158	0,525053	0,438908	0,643135	0,631658	0,497195	0,435242	0,674787	0,476136	0,417946	0,430767	0,642170	0,467144	0,438778	0,596978	0,295653	0,449933	0,454851
0,441322	0,611508	0,633202	0,598874	0,445908	0,448038	0,465634	0,460097	0,452136	0,616308	0,524956	0,744144	0,632942	0,612764	0,471333	0,537087	0,356401	0,635150	0,426945	0,596905	0,345854	0,303491	0,635491	0,468827	0,317701	0,442178
0,627534	0,692142	0,689971	0,550081	0,686303	0,632346	0,656491	0,676570	0,676345	0,684322	0,614270	0,586654	0,615520	0,570370	0,611120	0,619285	0,563446	0,619385	0,624051	0,583162	0,613048	0,608655	0,684917	0,681839	0,613908	0,632375
0,613786	0,627536	0,604982	0,548062	0,629201	0,626739	0,628241	0,632247	0,629356	0,676590	0,629818	0,606952	0,602741	0,565535	0,678328	0,613854	0,615618	0,605648	0,607530	0,676546	0,623390	0,626974	0,604599	0,670783	0,626603	0,615181
0,630298	0,626417	0,600433	0,709539	0,635084	0,642781	0,467395	0,453134	0,595429	0,624082	0,628929	0,600227	0,602525	0,709768	0,625395	0,651735	0,459039	0,612918	0,622145	0,596317	0,453531	0,626429	0,602109	0,625392	0,560080	0,441193
0,643608	0,618271	0,594317	0,558417	0,626590	0,648554	0,595779	0,634763	0,632286	0,697728	0,621376	0,594632	0,697753	0,577091	0,618226	0,628234	0,469165	0,694314	0,688583	0,591140	0,564600	0,618482	0,597155	0,691538	0,624179	0,681175
0,640899	0,700474	0,697888	0,556541	0,709502	0,644367	0,681179	0,689372	0,695702	0,578614	0,695964	0,688114	0,624069	0,572711	0,586297	0,516391	0,524956	0,628154	0,637722	0,562012	0,672705	0,688598	0,692750	0,580787	0,686383	0,645094
0,445642	0,443009	0,642020	0,758146	0,454850	0,457026	0,488460	0,476556	0,466004	0,556841	0,442754	0,644501	0,636885	0,525147	0,439088	0,688674	0,482572	0,422395	0,435217	0,643536	0,475817	0,442625	0,598723	0,435359	0,453780	0,454907
0,441344	0,613994	0,634413	0,602864	0,445939	0,457581	0,471615	0,466491	0,460765	0,620020	0,582077	0,638397	0,634153	0,616475	0,524992	0,540639	0,467959	0,636498	0,426967	0,745862	0,462489	0,433520	0,636702	0,496600	0,448347	0,448967
0,703260	0,628162	0,605584	0,570617	0,636924	0,694897	0,468873	0,597043	0,642525	0,707490	0,631162	0,605899	0,601487	0,587958	0,627628	0,637023	0,463792	0,611424	0,620752	0,601995	0,455422	0,628757	0,604487	0,704202	0,634358	0,614196
0,655242	0,622521	0,605722	0,565433	0,631372	0,661072	0,615172	0,638145	0,636246	0,588065	0,706436	0,699878	0,706621	0,580030	0,591951	0,519224	0,376762	0,703151	0,713335	0,568681	0,524955	0,699078	0,608816	0,586048	0,700087	0,695772
0,623043	0,639593	0,617457	0,697199	0,642288	0,625382	0,643360	0,644180	0,643444	0,606892	0,691750	0,691132	0,615005	0,684661	0,609025	0,660647	0,627570	0,617913	0,621273	0,584271	0,654607	0,684722	0,617073	0,605875	0,674581	0,624941
0,729062	0,632936	0,617839	0,578508	0,641846	0,717096	0,469367	0,616723	0,647030	0,591257	0,720143	0,715649	0,613415	0,591247	0,600066	0,519335	0,367758	0,623617	0,633212	0,578507	0,353695	0,712785	0,616540	0,592031	0,714074	0,637910
0,704417	0,626658	0,603971	0,706180	0,635420	0,696013	0,475195	0,597755	0,641021	0,621665	0,629170	0,603765	0,603162	0,707489	0,626020	0,652775	0,467261	0,613099	0,622428	0,600273	0,461360	0,626765	0,602874	0,622486	0,632366	0,614995
0,673440	0,654652	0,636072	0,598997	0,619864	0,451375	0,472695	0,464259	0,455465	0,616424	0,748524	0,742049	0,635806	0,612879	0,621162	0,538373	0,363697	0,646391	0,640462	0,597028	0,353151	0,524956	0,638362	0,617618	0,325237	0,446436
0,653589	0,643824	0,625629	0,591202	0,652632	0,672060	0,469510	0,460781	0,618315	0,605326	0,734431	0,727100	0,624365	0,601782	0,606631	0,531771	0,364978	0,635058	0,644544	0,581680	0,351196	0,726834	0,627348	0,606622	0,524956	0,442994
0,445777	0,615406	0,635699	0,606873	0,449761	0,457621	0,478027	0,475139	0,460815	0,756832	0,584828	0,639683	0,636009	0,620264	0,557096	0,672457	0,473959	0,638238	0,430965	0,638719	0,468901	0,437342	0,637988	0,525053	0,448396	0,458522
0,640025	0,707046	0,706123	0,693849	0,701168	0,644837	0,674070	0,677583	0,691169	0,617714	0,626050	0,598751	0,629725	0,696220	0,622900	0,661643	0,568038	0,633590	0,638255	0,595258	0,625240	0,620435	0,701028	0,619750	0,625689	0,644428
0,635623	0,640496	0,625970	0,563552	0,643293	0,643031	0,647550	0,648187	0,648959	0,581817	0,699863	0,698938	0,622933	0,576308	0,692681	0,523222	0,649778	0,625884	0,629433	0,688448	0,665871	0,692682	0,625545	0,580724	0,697116	0,636217
0,623507	0,641067	0,618877	0,701357	0,642733	0,627308	0,640830	0,641214	0,642888	0,610449	0,643349	0,620848	0,616947	0,688493	0,693237	0,666026	0,626077	0,619855	0,621737	0,692702	0,635676	0,640505	0,618494	0,609432	0,640134	0,624394
0,674227	0,652512	0,634160	0,599475	0,620555	0,458889	0,476134	0,468237	0,462092	0,616875	0,655189	0,634075	0,633466	0,613330	0,748561	0,538413	0,467681	0,644050	0,641208	0,742057	0,462211	0,580037	0,636449	0,618069	0,448170	0,450767
0,445834	0,617188	0,637634	0,754278	0,453608	0,457678	0,487117	0,475213	0,464661	0,659058	0,586250	0,641049	0,640963	0,758516	0,560118	0,686324	0,480395	0,643465	0,435415	0,640084	0,477574	0,441189	0,639923	0,556833	0,452242	0,458579
0,656620	0,630051	0,606414	0,708089	0,638370	0,661566	0,602723	0,646498	0,644067	0,628268	0,633156	0,606729	0,713864	0,709626	0,630006	0,661087	0,482493	0,710384	0,704611	0,603236	0,569301	0,630263	0,609251	0,626472	0,635959	0,682297
0,650613	0,716546	0,715153	0,569964	0,710524	0,658048	0,686951	0,697376	0,715105	0,591233	0,630643	0,610372	0,638765	0,585330	0,708954	0,528558	0,584231	0,642850	0,647435	0,701991	0,627914	0,624682	0,709973	0,593407	0,630308	0,656499
0,679450	0,653854	0,635447	0,603484	0,621967	0,458930	0,482546	0,476885	0,462141	0,753314	0,656530	0,635361	0,635321	0,617119	0,656527	0,670160	0,473681	0,645906	0,642948	0,635330	0,468623	0,582788	0,637736	0,750211	0,448219	0,460322
0,628291	0,643098	0,620889	0,705524	0,644763	0,627846	0,642938	0,643344	0,643401	0,700906	0,644891	0,622338	0,621731	0,692395	0,644068	0,841314	0,623222	0,624639	0,626521	0,621410	0,634678	0,642047	0,620506	0,694737	0,640647	0,635546
0,667597	0,634914	0,618555	0,578856	0,643311	0,674753	0,623384	0,650814	0,648997	0,600685	0,638094	0,618904	0,723844	0,592650	0,719425	0,531349	0,483846	0,720332	0,714385	0,713754	0,585781	0,635033	0,621649	0,598667	0,640719	0,703803
0,730112	0,645329	0,630672	0,591930	0,654197	0,737438	0,483421	0,625016	0,659781	0,603877	0,648399	0,631022	0,626248	0,603867	0,733132	0,531418	0,478190	0,636450	0,645996	0,729525	0,469528	0,645860	0,629373	0,604650	0,651444	0,643239
0,680334	0,655800	0,637382	0,750473	0,623749	0,458986	0,491636	0,476959	0,465988	0,655913	0,657956	0,636727	0,640276	0,754998	0,657952	0,684006	0,480117	0,650860	0,648175	0,636696	0,477296	0,584211	0,639671	0,657107	0,452066	0,460379
0,666373	0,656217	0,638462	0,604624	0,664984	0,680051	0,483563	0,474834	0,626679	0,617946	0,658893	0,638382	0,637198	0,614401	0,747421	0,543812	0,478011	0,647891	0,657328	0,740968	0,469641	0,656646	0,640182	0,619241	0,588921	0,457604
0,650723	0,654763	0,640741	0,577056	0,657560	0,652826	0,658592	0,661108	0,658429	0,711732	0,716011	0,716277	0,637704	0,589005	0,625089	0,644476	0,655824	0,640656	0,644204	0,607816	0,673910	0,708789	0,640316	0,705695	0,698173	0,649973
0,668266	0,654154	0,636197	0,605121	0,662921	0,680887	0,487560	0,481479	0,627416	0,750346	0,657224	0,636546	0,635502	0,614930	0,653597	0,672381	0,481467	0,646195	0,655632	0,632445	0,473637	0,654584	0,637916	0,747482	0,589618	0,465130
0,665713	0,732694	0,732491	0,583405	0,726631	0,670484	0,694990	0,716814	0,716163	0,724359	0,643113	0,623281	0,653536	0,598028	0,639879	0,656272	0,593827	0,657621	0,662207	0,619615	0,640661	0,637152	0,727270	0,721968	0,642325	0,670255
0,651187	0,656397	0,642338	0,581110	0,658005	0,665191	0,656197	0,660798	0,658139	0,715887	0,658655	0,644567	0,639871	0,592776	0,717637	0,650205	0,642385	0,642822	0,644667	0,717991	0,651054	0,655653	0,641913	0,709850	0,655227	0,652385
0,668827	0,656101	0,638132	0,751685	0,664868	0,681771	0,496651	0,481553	0,629198	0,653724	0,658650	0,637911	0,640456	0,752029	0,655022	0,686229	0,487904	0,651150	0,660586	0,633810	0,482310	0,656009	0,639851	0,655019	0,591041	0,465187
0,682698	0,647384	0,631463	0,592297	0,655781	0,687618	0,629104	0,663643	0,661426	0,738995	0,650564	0,631813	0,741141	0,605347	0,647330	0,666113	0,497918	0,737588	0,731599	0,628147	0,595459	0,647503	0,634557	0,732440	0,653148	0,724177
0,747334	0,657799	0,643581	0,605372	0,666667	0,738528	0,497493	0,630848	0,672210	0,749530	0,660869	0,643930	0,639157	0,616564	0,657242	0,675765	0,492262	0,649359	0,658904	0,639835	0,483600	0,658330	0,642281	0,746147	0,663873	0,651231
0,661211	0,669113	0,655592	0,737817	0,671911	0,663314	0,671913	0,673209	0,672780	0,635502	0,732241	0,733693	0,652884	0,724779	0,637642	0,695787	0,663903	0,655836	0,659384	0,620804	0,693389	0,724977	0,655167	0,634409	0,714321	0,662489
0,748541	0,656342	0,641964	0,748007	0,665210	0,739694	0,504580	0,631637	0,670753	0,651256	0,658890	0,641744	0,641129	0,749624	0,655657	0,687334	0,496283	0,651331	0,660877	0,638078	0,490269	0,656351	0,640665	0,652029	0,661895	0,652071
0,661674	0,670747	0,657189	0,742298	0,672355	0,665753	0,669518	0,670352	0,672490	0,639273	0,673005	0,659418	0,655051	0,728934	0,733867	0,701576	0,653510	0,658002	0,659847	0,735407	0,664058	0,670004	0,656764	0,638179	0,669577	0,662259
0,679214	0,748924	0,749908	0,734753	0,742820	0,683985	0,714477	0,717913	0,732311	0,647026	0,655667	0,636269	0,668716	0,737406	0,652433	0,696822	0,599240	0,672801	0,677387	0,632603	0,653573	0,649706	0,744644	0,649199	0,654879	0,683200
0,696768	0,659938	0,644452	0,750043	0,668335	0,701688	0,637088	0,676156	0,673980	0,658274	0,663117	0,644801	0,758524	0,752042	0,659884	0,696168	0,512015	0,754929	0,748898	0,641135	0,600984	0,660057	0,647545	0,656257	0,665702	0,725304
0,666935	0,672980	0,659430	0,746798	0,674588	0,666298	0,672071	0,672925	0,673012	0,741922	0,674717	0,661090	0,660305	0,733165	0,673872	0,892034	0,650773	0,663257	0,665102	0,660122	0,663305	0,671715	0,659006	0,735518	0,670099	0,674700
