A8s	K9s	QJo	A7s	KTo	Q9s	A5s	66	A6s	QTo	J9s	A9o	T9s	A4s	K8s	JTo	K7s	A8o	A3s	Q8s	K9o	A2s	K6s	J8s	T8s	A7o
0,552458	0,562066	0,693601	0,547446	0,681434	0,570109	0,544831	0,479369	0,539145	0,692247	0,310302	0,527185	0,298938	0,544827	0,549559	0,475079	0,546910	0,524539	0,544004	0,557602	0,535024	0,543180	0,539429	0,309069	0,298249	0,519064
0,596805	0,311107	0,261861	0,597636	0,271036	0,397540	0,599507	0,530250	0,593698	0,373200	0,313102	0,580591	0,390997	0,598662	0,310781	0,275857	0,313587	0,574464	0,597817	0,388588	0,269180	0,596972	0,312438	0,298308	0,381959	0,575399
0,500000	0,414840	0,410877	0,355802	0,403700	0,421924	0,370048	0,533149	0,355924	0,411382	0,431034	0,652487	0,440468	0,368508	0,276576	0,421136	0,373514	0,475077	0,364037	0,290338	0,386342	0,363244	0,376420	0,304043	0,317689	0,318509
0,585160	0,500000	0,400703	0,585976	0,679510	0,294031	0,584761	0,521720	0,582524	0,401208	0,307736	0,700113	0,321441	0,580925	0,326651	0,411355	0,329287	0,557987	0,580921	0,372023	0,475079	0,580098	0,331377	0,383264	0,394505	0,558874
0,589123	0,599297	0,500000	0,581537	0,595602	0,311898	0,587336	0,518631	0,581527	0,272209	0,305997	0,570018	0,378614	0,586490	0,586434	0,264445	0,580869	0,566644	0,585645	0,311686	0,578129	0,584800	0,581701	0,302609	0,371453	0,558058
0,644198	0,414024	0,418463	0,500000	0,402869	0,429021	0,398060	0,537131	0,384687	0,418575	0,436046	0,650381	0,445097	0,396847	0,402638	0,426197	0,278027	0,628034	0,395319	0,417636	0,385510	0,390858	0,373277	0,424661	0,433711	0,475073
0,596300	0,320490	0,404398	0,597131	0,500000	0,394081	0,595462	0,531413	0,593587	0,263579	0,405666	0,580164	0,325934	0,595458	0,319535	0,279669	0,322382	0,574036	0,594613	0,385130	0,279176	0,593767	0,324438	0,396715	0,311140	0,574971
0,578076	0,705969	0,688102	0,570979	0,605919	0,500000	0,573212	0,511050	0,570975	0,678760	0,298516	0,685251	0,312220	0,569376	0,575560	0,403111	0,570442	0,550847	0,569373	0,327727	0,695449	0,568549	0,571259	0,373281	0,384522	0,543135
0,629952	0,415239	0,412664	0,601940	0,404538	0,426788	0,500000	0,656228	0,567410	0,416710	0,438278	0,634539	0,453540	0,449115	0,403853	0,428823	0,404038	0,612391	0,446769	0,415402	0,386787	0,445689	0,403755	0,426892	0,441771	0,582438
0,466851	0,478280	0,481369	0,462869	0,468587	0,488950	0,343772	0,500000	0,345023	0,480206	0,504570	0,440246	0,508812	0,341990	0,466442	0,497520	0,465675	0,439524	0,339685	0,477073	0,451812	0,334487	0,348002	0,492653	0,496856	0,435287
0,644076	0,417476	0,418473	0,615313	0,406413	0,429025	0,432590	0,654977	0,500000	0,418585	0,443964	0,649540	0,450929	0,430389	0,406091	0,434625	0,406275	0,627751	0,428715	0,417640	0,389055	0,424295	0,278449	0,432578	0,439543	0,596979
0,588618	0,598792	0,727791	0,581425	0,736421	0,321240	0,583290	0,519794	0,581415	0,500000	0,394986	0,569591	0,318829	0,583286	0,585929	0,268257	0,580757	0,566217	0,582441	0,320358	0,577701	0,581596	0,581589	0,386116	0,315441	0,558060
0,568966	0,692264	0,694003	0,563954	0,594334	0,701484	0,561722	0,495430	0,556036	0,605014	0,500000	0,670451	0,304410	0,557886	0,566067	0,678053	0,563418	0,541533	0,557883	0,574080	0,680649	0,557059	0,556320	0,328842	0,375180	0,536058
0,347513	0,299887	0,429982	0,349619	0,419836	0,314749	0,365461	0,559754	0,350460	0,430409	0,329549	0,500000	0,344285	0,360719	0,396139	0,440919	0,401809	0,307694	0,359877	0,407724	0,258634	0,355391	0,405009	0,419246	0,430705	0,309957
0,559532	0,678559	0,621386	0,554903	0,674066	0,687780	0,546460	0,491188	0,549071	0,681171	0,695590	0,655715	0,500000	0,546456	0,556632	0,691646	0,554367	0,531871	0,546452	0,564646	0,665850	0,545629	0,549355	0,571967	0,329917	0,526808
0,631492	0,419075	0,413510	0,603153	0,404542	0,430624	0,550885	0,658010	0,569611	0,416714	0,442114	0,639281	0,453544	0,500000	0,407306	0,428826	0,407490	0,613928	0,472381	0,418855	0,390725	0,469799	0,407207	0,430344	0,441775	0,583615
0,723424	0,673349	0,413566	0,597362	0,680465	0,424440	0,596147	0,533558	0,593909	0,414071	0,433933	0,603861	0,443368	0,592694	0,500000	0,424218	0,356224	0,713584	0,588858	0,294407	0,659234	0,588855	0,357797	0,308112	0,321759	0,570889
0,578864	0,588645	0,735555	0,573803	0,720331	0,596889	0,571177	0,502480	0,565375	0,731743	0,321947	0,559081	0,308354	0,571174	0,575782	0,500000	0,573135	0,556136	0,570328	0,584026	0,567191	0,569483	0,565549	0,321148	0,308154	0,550303
0,626486	0,670713	0,419131	0,721973	0,677618	0,429558	0,595962	0,534325	0,593725	0,419243	0,436582	0,598191	0,445633	0,592510	0,643776	0,426865	0,500000	0,600651	0,589057	0,416448	0,656345	0,585221	0,384687	0,423472	0,432523	0,711998
0,524923	0,442013	0,433356	0,371966	0,425964	0,449153	0,387609	0,560476	0,372249	0,433783	0,458467	0,692306	0,468129	0,386072	0,286416	0,443864	0,399349	0,500000	0,381339	0,301278	0,407887	0,380507	0,402549	0,316078	0,330814	0,333884
0,635963	0,419079	0,414355	0,604681	0,405387	0,430627	0,553231	0,660315	0,571285	0,417559	0,442117	0,640123	0,453548	0,527619	0,411142	0,429672	0,410943	0,618661	0,500000	0,422691	0,390729	0,472778	0,410660	0,434180	0,445611	0,585142
0,709662	0,627977	0,688314	0,582364	0,614870	0,672273	0,584598	0,522927	0,582360	0,679642	0,425920	0,592276	0,435354	0,581145	0,705593	0,415974	0,583552	0,698722	0,577309	0,500000	0,602639	0,577306	0,584369	0,298892	0,312539	0,555150
0,613658	0,524921	0,421871	0,614490	0,720824	0,304551	0,613213	0,548188	0,610945	0,422299	0,319351	0,741366	0,334150	0,609275	0,340766	0,432809	0,343655	0,592113	0,609271	0,397361	0,500000	0,608426	0,346070	0,408883	0,420405	0,593047
0,636756	0,419902	0,415200	0,609142	0,406233	0,431451	0,554311	0,665513	0,575705	0,418404	0,442941	0,644609	0,454371	0,530201	0,411145	0,430517	0,414779	0,619493	0,527222	0,422694	0,391574	0,500000	0,414496	0,434184	0,445615	0,589865
0,623580	0,668623	0,418299	0,626723	0,675562	0,428741	0,596245	0,651998	0,721551	0,418411	0,443680	0,594991	0,450645	0,592793	0,642203	0,434451	0,615313	0,597451	0,589340	0,415631	0,653930	0,585504	0,500000	0,430570	0,437535	0,600906
0,695957	0,616736	0,697391	0,575339	0,603285	0,626719	0,573108	0,507347	0,567422	0,613884	0,671158	0,580754	0,428033	0,569656	0,691888	0,678852	0,576528	0,683922	0,565820	0,701108	0,591117	0,565816	0,569430	0,500000	0,304757	0,548073
0,682311	0,605495	0,628547	0,566289	0,688860	0,615478	0,558229	0,503144	0,560457	0,684559	0,624820	0,569295	0,670083	0,558225	0,678241	0,691846	0,567477	0,669186	0,554389	0,687461	0,579595	0,554385	0,562465	0,695243	0,500000	0,538823
0,681491	0,441126	0,441942	0,524927	0,425029	0,456865	0,417562	0,564713	0,403021	0,441940	0,463942	0,690043	0,473192	0,416385	0,429111	0,449697	0,288002	0,666116	0,414858	0,444850	0,406953	0,410135	0,399094	0,451927	0,461177	0,500000
0,474231	0,486227	0,484370	0,470249	0,477480	0,496700	0,364651	0,813593	0,463984	0,488889	0,507181	0,448191	0,523036	0,336863	0,474390	0,500308	0,473623	0,447468	0,335080	0,484823	0,460264	0,333297	0,469641	0,495264	0,510656	0,443231
0,605977	0,747144	0,729564	0,598783	0,643260	0,524921	0,601041	0,536611	0,598773	0,719609	0,308567	0,725277	0,323366	0,597103	0,603281	0,423901	0,598109	0,584293	0,597100	0,341476	0,736037	0,596254	0,598941	0,398284	0,409806	0,576136
0,672902	0,687036	0,610080	0,561234	0,604228	0,682226	0,555643	0,500062	0,555786	0,611948	0,686822	0,662046	0,693201	0,547342	0,668833	0,623859	0,562423	0,658949	0,547338	0,674620	0,674348	0,547335	0,557794	0,682155	0,687657	0,533661
0,624153	0,666614	0,417722	0,627295	0,676442	0,431618	0,724336	0,666131	0,627213	0,421768	0,443108	0,596159	0,458371	0,604806	0,639866	0,433881	0,613728	0,598099	0,601354	0,418508	0,651605	0,597902	0,581131	0,429998	0,444877	0,601554
0,628959	0,636363	0,691775	0,720109	0,623387	0,673964	0,595966	0,534765	0,593728	0,680161	0,438427	0,600836	0,447862	0,592513	0,627900	0,428837	0,717973	0,603303	0,589061	0,649808	0,611156	0,585225	0,595813	0,425318	0,434752	0,709968
0,596222	0,732204	0,736431	0,591161	0,630824	0,742023	0,588929	0,519768	0,583126	0,641886	0,524921	0,709250	0,314079	0,584991	0,593133	0,718436	0,590487	0,574212	0,584987	0,601346	0,720011	0,584142	0,583294	0,342226	0,399887	0,568379
0,666073	0,442601	0,435649	0,635919	0,427087	0,454567	0,524956	0,690699	0,598683	0,440034	0,466470	0,672945	0,482501	0,472065	0,430586	0,452918	0,430673	0,649232	0,469642	0,442553	0,408576	0,468598	0,430287	0,454456	0,470068	0,617061
0,586134	0,717264	0,658804	0,581466	0,715178	0,727082	0,572947	0,515248	0,575563	0,722563	0,735404	0,693287	0,524921	0,572938	0,583045	0,733593	0,580792	0,563765	0,572934	0,591258	0,703984	0,572089	0,575731	0,598739	0,342934	0,558361
