A8s	K9s	QJo	A7s	KTo	Q9s	A5s	66	A6s	QTo	J9s	A9o	T9s	A4s	K8s	JTo	K7s	A8o	A3s	Q8s	K9o	A2s	K6s	J8s	T8s	A7o
0,701183	0,637656	0,620283	0,607871	0,617105	0,643510	0,693076	0,663191	0,605462	0,623553	0,651202	0,611439	0,660765	0,581542	0,694271	0,632394	0,607839	0,689296	0,573625	0,692035	0,612961	0,573621	0,607835	0,688728	0,697234	0,581756
0,628127	0,724025	0,656929	0,722720	0,647145	0,737019	0,594283	0,537824	0,594374	0,658659	0,730431	0,715571	0,734264	0,586248	0,623209	0,669027	0,716894	0,609565	0,586238	0,633788	0,712941	0,582300	0,593175	0,642953	0,651444	0,709013
0,624117	0,632160	0,656251	0,623625	0,711769	0,642555	0,630243	0,663302	0,621217	0,709943	0,652229	0,598723	0,676859	0,716014	0,620651	0,708341	0,622866	0,598314	0,595853	0,631046	0,606710	0,592400	0,622863	0,640719	0,651609	0,597786
0,660170	0,711348	0,442455	0,660084	0,723504	0,463644	0,671482	0,705330	0,659492	0,445907	0,475547	0,638921	0,487387	0,670637	0,683618	0,458791	0,651924	0,642281	0,770504	0,453899	0,697371	0,634161	0,617453	0,465802	0,477642	0,642333
0,629449	0,636772	0,721184	0,630172	0,626214	0,647167	0,636283	0,665502	0,624169	0,637267	0,680562	0,603427	0,459625	0,635459	0,625982	0,689537	0,629413	0,603737	0,634636	0,636377	0,611477	0,722117	0,625920	0,654918	0,449173	0,604377
0,615212	0,618210	0,594943	0,615850	0,595383	0,621546	0,692045	0,810054	0,614009	0,599048	0,624311	0,591063	0,639577	0,684258	0,612239	0,602633	0,613696	0,589846	0,565255	0,615537	0,592431	0,559807	0,614822	0,618247	0,624235	0,590822
0,653250	0,658841	0,727698	0,652853	0,657266	0,708371	0,763591	0,698188	0,653623	0,719567	0,470777	0,632826	0,486807	0,630546	0,649677	0,457130	0,652047	0,635247	0,627001	0,682130	0,641073	0,623456	0,655274	0,457259	0,472872	0,634818
0,626829	0,629121	0,610094	0,627955	0,606289	0,632457	0,610354	0,831183	0,691798	0,609953	0,639356	0,600136	0,644180	0,681725	0,625767	0,617784	0,627713	0,601692	0,573630	0,629066	0,603858	0,565713	0,686810	0,633293	0,637664	0,603190
0,628367	0,632578	0,659923	0,625258	0,716608	0,642973	0,631387	0,665085	0,622361	0,714741	0,652647	0,599174	0,677664	0,631383	0,624901	0,713097	0,624499	0,602699	0,717465	0,635296	0,607162	0,595871	0,624007	0,644969	0,656080	0,599405
0,500238	0,507428	0,502284	0,501199	0,495267	0,517073	0,500981	0,815567	0,494920	0,505793	0,526726	0,471531	0,536387	0,497763	0,499569	0,516329	0,503744	0,475039	0,494544	0,509174	0,482722	0,379642	0,499338	0,518788	0,528409	0,476042
0,660717	0,715906	0,443445	0,664822	0,728411	0,464612	0,672848	0,707861	0,661329	0,446897	0,476515	0,643000	0,488355	0,672003	0,684489	0,459781	0,656919	0,642842	0,671158	0,453973	0,702236	0,772188	0,619235	0,465876	0,477716	0,647288
0,640494	0,639454	0,622385	0,705650	0,617107	0,644307	0,618586	0,670574	0,609176	0,622250	0,649590	0,614111	0,656824	0,694829	0,636588	0,628619	0,697247	0,616189	0,581863	0,640916	0,614676	0,573945	0,608496	0,646144	0,652925	0,694112
0,642240	0,643824	0,650082	0,714398	0,630386	0,648911	0,587274	0,640429	0,707829	0,638866	0,658925	0,622702	0,665022	0,581764	0,641123	0,650592	0,709335	0,625323	0,575468	0,645650	0,626526	0,564907	0,702971	0,655606	0,661223	0,702281
0,628844	0,636108	0,663658	0,629567	0,721510	0,646503	0,632531	0,667389	0,623948	0,719602	0,656176	0,602903	0,681821	0,632528	0,625377	0,717916	0,628808	0,603214	0,631704	0,635772	0,610891	0,718916	0,625699	0,645446	0,656873	0,603854
0,655035	0,663418	0,732558	0,654117	0,657673	0,713349	0,666877	0,700121	0,654887	0,720445	0,474998	0,637626	0,486838	0,765217	0,651462	0,457158	0,653311	0,637027	0,630712	0,683896	0,645873	0,627168	0,656537	0,461062	0,472903	0,636029
0,655253	0,663243	0,753783	0,654857	0,658516	0,673840	0,621852	0,686971	0,758645	0,669920	0,713328	0,634409	0,480640	0,618308	0,654599	0,724398	0,656970	0,637399	0,614763	0,665197	0,645975	0,610825	0,756960	0,688765	0,467152	0,636977
0,716093	0,651368	0,633285	0,619533	0,629470	0,657222	0,626535	0,670884	0,617125	0,635918	0,664914	0,625517	0,672382	0,704974	0,709141	0,644759	0,619501	0,705364	0,585594	0,706864	0,627039	0,585591	0,619497	0,703517	0,698212	0,593726
0,630600	0,722187	0,649490	0,630596	0,643723	0,720052	0,637214	0,671229	0,628188	0,652644	0,716829	0,718196	0,712727	0,718504	0,623923	0,661821	0,626731	0,605064	0,600355	0,633875	0,712120	0,596902	0,626728	0,643644	0,652310	0,605058
0,725757	0,656378	0,651524	0,624503	0,643731	0,662200	0,593915	0,651275	0,718883	0,650235	0,672233	0,634913	0,680719	0,588012	0,722285	0,661989	0,627495	0,714424	0,579584	0,720082	0,639870	0,579574	0,717670	0,731746	0,722908	0,605629
0,643368	0,651299	0,685492	0,643365	0,741672	0,661896	0,606264	0,672417	0,743764	0,739907	0,671771	0,622099	0,711575	0,606254	0,642714	0,754460	0,645478	0,625090	0,602710	0,653312	0,633602	0,598772	0,742079	0,663186	0,687094	0,625096
0,636273	0,736396	0,665627	0,636269	0,658177	0,734341	0,603491	0,662155	0,733644	0,667350	0,746134	0,728293	0,738567	0,595456	0,632197	0,679043	0,635070	0,617806	0,595446	0,642323	0,726120	0,591508	0,728267	0,652299	0,660708	0,617812
0,628986	0,627455	0,608010	0,629321	0,608451	0,630791	0,706935	0,815044	0,627480	0,612115	0,633556	0,600719	0,639996	0,610169	0,626012	0,615700	0,627167	0,603988	0,696159	0,629311	0,602088	0,571838	0,628294	0,632021	0,638008	0,604654
0,632142	0,723343	0,649935	0,629033	0,644168	0,721168	0,635546	0,671140	0,626136	0,653089	0,717905	0,719456	0,713763	0,632012	0,625465	0,662266	0,625168	0,606677	0,718504	0,635417	0,713338	0,597320	0,624676	0,645186	0,653853	0,603382
0,659689	0,663881	0,737461	0,655979	0,661673	0,714210	0,668219	0,702065	0,656228	0,725306	0,475047	0,638107	0,486887	0,667374	0,656116	0,458132	0,655174	0,641902	0,766868	0,688880	0,646355	0,630898	0,657879	0,465302	0,477142	0,637885
0,652434	0,658026	0,750619	0,652430	0,656453	0,668623	0,760014	0,694373	0,649577	0,667856	0,710196	0,632076	0,487039	0,627341	0,648861	0,721003	0,651625	0,634497	0,623797	0,659458	0,640323	0,620252	0,651228	0,685592	0,473133	0,634502
0,640600	0,640981	0,623160	0,641424	0,619355	0,644318	0,622075	0,848313	0,706766	0,623019	0,648600	0,612564	0,653424	0,618925	0,639538	0,630850	0,641182	0,615833	0,693623	0,642837	0,616286	0,577683	0,701738	0,647064	0,651435	0,617020
0,633562	0,632031	0,611698	0,631280	0,608918	0,635367	0,644701	0,816419	0,628950	0,612582	0,638132	0,605432	0,640438	0,708418	0,630588	0,616167	0,629126	0,608701	0,699987	0,633887	0,606800	0,575392	0,629764	0,636597	0,638450	0,606594
0,632619	0,727882	0,653670	0,633342	0,647904	0,725666	0,636690	0,673444	0,627723	0,656824	0,722363	0,724400	0,718181	0,633156	0,625942	0,666001	0,629477	0,607191	0,633153	0,635894	0,718241	0,719955	0,626368	0,645663	0,654330	0,607831
0,654265	0,651803	0,635450	0,720618	0,630173	0,656168	0,630307	0,678268	0,620897	0,635316	0,661451	0,627060	0,668684	0,627157	0,650359	0,641684	0,712175	0,630330	0,706727	0,654687	0,627625	0,585915	0,620217	0,659915	0,666696	0,710243
0,641535	0,643635	0,633335	0,642603	0,632968	0,647011	0,707961	0,862211	0,715271	0,636732	0,654278	0,621948	0,664123	0,594232	0,640412	0,655055	0,642321	0,624000	0,588329	0,643750	0,625765	0,580294	0,710160	0,648174	0,657223	0,625690
0,660236	0,667695	0,742410	0,660717	0,665752	0,718767	0,669585	0,704596	0,658065	0,730214	0,476015	0,642187	0,487855	0,668740	0,656663	0,459122	0,659911	0,642463	0,667895	0,689751	0,650434	0,768552	0,659826	0,465376	0,477216	0,642839
0,654219	0,662602	0,755700	0,653694	0,656859	0,673199	0,663673	0,696306	0,650841	0,668263	0,715174	0,636875	0,487070	0,761640	0,650646	0,721882	0,652889	0,636277	0,627508	0,661243	0,645122	0,623963	0,652492	0,687357	0,473164	0,635713
0,731061	0,663717	0,646351	0,631255	0,642536	0,669571	0,638256	0,678578	0,628846	0,648984	0,677263	0,638466	0,684730	0,634722	0,724069	0,657825	0,631222	0,721495	0,716872	0,721751	0,639988	0,597561	0,631218	0,718364	0,713018	0,605760
0,655750	0,654415	0,646608	0,730238	0,641531	0,659502	0,722150	0,697953	0,625318	0,650010	0,664719	0,636836	0,674583	0,602966	0,651714	0,656432	0,721513	0,639457	0,597063	0,656240	0,637341	0,589028	0,624580	0,661400	0,670467	0,719348
0,640905	0,640089	0,621139	0,643151	0,621580	0,643425	0,721822	0,820445	0,641310	0,625244	0,646190	0,613848	0,652630	0,621949	0,637931	0,628829	0,640998	0,616479	0,618799	0,641230	0,615217	0,708057	0,641822	0,643940	0,647310	0,618858
0,741598	0,666969	0,657977	0,636216	0,654875	0,672790	0,733205	0,698220	0,633756	0,661380	0,680574	0,649047	0,690281	0,609214	0,734463	0,670469	0,636288	0,731491	0,601179	0,732219	0,650686	0,601169	0,636285	0,728833	0,738376	0,617900
0,732315	0,664193	0,646859	0,632856	0,643044	0,670048	0,636204	0,679010	0,627237	0,649492	0,677740	0,638974	0,685207	0,633054	0,725283	0,658333	0,632824	0,722818	0,629520	0,722925	0,640496	0,716872	0,629714	0,719497	0,714112	0,607435
0,655081	0,660092	0,695527	0,655077	0,754643	0,670690	0,758086	0,698286	0,652224	0,752836	0,680524	0,634370	0,715638	0,627457	0,651508	0,751257	0,654272	0,637361	0,623912	0,662105	0,642555	0,620367	0,653875	0,671939	0,688611	0,637367
0,647985	0,748575	0,675092	0,647982	0,669322	0,746478	0,747966	0,698521	0,645522	0,678495	0,743222	0,745360	0,754044	0,616658	0,640990	0,687953	0,643864	0,630077	0,616648	0,651117	0,739082	0,613104	0,643860	0,661052	0,669860	0,630083
0,658873	0,663065	0,760855	0,655557	0,660859	0,673662	0,665015	0,698250	0,652182	0,672263	0,716034	0,637357	0,487119	0,664169	0,655300	0,726743	0,654751	0,641152	0,763291	0,665897	0,645604	0,627693	0,653833	0,692341	0,477404	0,637569
0,653008	0,653615	0,636289	0,655254	0,632484	0,656951	0,633796	0,865482	0,721792	0,636148	0,661233	0,625693	0,666057	0,630646	0,651946	0,643979	0,655012	0,628845	0,627112	0,655245	0,629415	0,705521	0,716723	0,658984	0,663355	0,631224
0,643397	0,646731	0,630948	0,643943	0,631627	0,650108	0,731232	0,850674	0,641973	0,635391	0,652879	0,627301	0,668923	0,723192	0,640407	0,639072	0,641795	0,626010	0,592009	0,643744	0,628541	0,586500	0,642862	0,646458	0,652760	0,627131
0,642867	0,644668	0,624829	0,645114	0,622049	0,648004	0,658232	0,821822	0,642784	0,625713	0,650769	0,618563	0,653075	0,723310	0,639894	0,629298	0,642960	0,618421	0,622356	0,643192	0,619931	0,711889	0,643295	0,645902	0,647755	0,620800
0,653462	0,661786	0,695939	0,652938	0,755823	0,672383	0,659687	0,698204	0,650478	0,753974	0,682217	0,636188	0,716452	0,758122	0,649889	0,752354	0,652132	0,635590	0,624363	0,660487	0,644372	0,620818	0,652128	0,670321	0,689384	0,635026
0,659420	0,666879	0,766088	0,660295	0,664938	0,677476	0,666381	0,700781	0,654019	0,676342	0,720591	0,641436	0,488087	0,665536	0,655847	0,731650	0,659489	0,641713	0,664690	0,666444	0,649683	0,764974	0,655780	0,693212	0,477478	0,642523
0,666673	0,664436	0,648579	0,735643	0,643302	0,668801	0,642029	0,685961	0,632980	0,648445	0,674084	0,640189	0,681318	0,638879	0,662767	0,654813	0,727160	0,643342	0,635345	0,667095	0,640754	0,718625	0,631997	0,672323	0,679104	0,726437
0,655725	0,658141	0,647338	0,656792	0,643300	0,661518	0,638578	0,880700	0,731466	0,647064	0,668785	0,636973	0,673516	0,720951	0,654602	0,655461	0,656511	0,638695	0,600948	0,657939	0,640790	0,592913	0,726313	0,662364	0,666615	0,640386
0,658116	0,662249	0,699939	0,654800	0,761020	0,672847	0,661028	0,700149	0,651819	0,759129	0,682681	0,636669	0,717312	0,661024	0,654543	0,757467	0,653995	0,640464	0,759773	0,665140	0,644854	0,624548	0,653470	0,674974	0,694368	0,636882
0,647515	0,645181	0,628589	0,649761	0,625808	0,648517	0,659774	0,823726	0,644709	0,629473	0,651282	0,619102	0,653588	0,658951	0,644541	0,633058	0,647607	0,623205	0,724809	0,647840	0,620470	0,715734	0,645326	0,650550	0,652403	0,625584
0,669939	0,668921	0,660610	0,746433	0,654876	0,674008	0,647312	0,706077	0,637710	0,660343	0,679225	0,651861	0,686523	0,735140	0,665903	0,666764	0,737667	0,654153	0,609683	0,670429	0,652366	0,601648	0,636972	0,675589	0,682407	0,736654
0,757792	0,681475	0,671979	0,648608	0,668221	0,687297	0,655751	0,706344	0,646148	0,674725	0,695081	0,664072	0,702632	0,746194	0,750616	0,683815	0,648681	0,748797	0,613799	0,748332	0,665711	0,613789	0,648677	0,744905	0,739399	0,630734
0,658663	0,666063	0,704019	0,659538	0,766294	0,676660	0,662394	0,702679	0,653656	0,764362	0,686494	0,640749	0,721869	0,662390	0,655090	0,762658	0,658732	0,641026	0,661545	0,665688	0,648933	0,761457	0,655416	0,675522	0,695239	0,641836
0,660378	0,764737	0,689095	0,660374	0,683237	0,762599	0,667123	0,706646	0,657914	0,692410	0,759302	0,762674	0,755066	0,760955	0,653383	0,701868	0,656256	0,642910	0,629268	0,663509	0,756355	0,625723	0,656253	0,673445	0,682212	0,642916
0,657981	0,656450	0,645026	0,658209	0,645705	0,659827	0,747421	0,855994	0,656240	0,649469	0,662599	0,637709	0,669386	0,638481	0,654991	0,653150	0,656061	0,641111	0,736206	0,658328	0,638949	0,599197	0,657129	0,661042	0,667344	0,641903
0,662149	0,765958	0,689583	0,658833	0,683725	0,763779	0,665454	0,706576	0,655852	0,692898	0,760441	0,763970	0,756165	0,661827	0,655154	0,702356	0,654715	0,644803	0,761016	0,665281	0,757609	0,626193	0,654190	0,675216	0,683983	0,641220
0,670309	0,670645	0,661416	0,671059	0,657379	0,674022	0,651048	0,899280	0,747736	0,661143	0,678504	0,650394	0,683235	0,647814	0,669186	0,669539	0,670777	0,653796	0,733965	0,672523	0,654211	0,605551	0,742543	0,676948	0,681199	0,655157
0,662921	0,661397	0,649014	0,660365	0,646174	0,664773	0,674063	0,857497	0,657874	0,649938	0,667545	0,642895	0,669831	0,749047	0,659931	0,653619	0,658217	0,646290	0,740361	0,663268	0,644135	0,602968	0,658763	0,665983	0,667789	0,644069
0,662696	0,770905	0,693662	0,663571	0,687804	0,768686	0,666820	0,709107	0,657689	0,696977	0,765307	0,769286	0,760990	0,663193	0,655701	0,706435	0,659453	0,645364	0,663190	0,665828	0,762883	0,762700	0,656137	0,675763	0,684530	0,646175
0,684523	0,681946	0,674689	0,762703	0,668954	0,686512	0,659782	0,714214	0,650180	0,674421	0,691729	0,665852	0,699027	0,656549	0,680487	0,680843	0,753897	0,669253	0,748154	0,685013	0,666356	0,614286	0,649442	0,690173	0,696991	0,754034
0,774071	0,694500	0,686058	0,661078	0,682299	0,700322	0,668220	0,714481	0,658618	0,688803	0,708106	0,678063	0,715658	0,664593	0,766854	0,697893	0,661151	0,766186	0,759208	0,764529	0,679701	0,626427	0,661147	0,761062	0,755514	0,643642
0,670568	0,669794	0,659184	0,672877	0,659863	0,673171	0,763632	0,861758	0,670901	0,663627	0,675943	0,651867	0,682730	0,651035	0,667579	0,667308	0,670729	0,654611	0,647802	0,670916	0,653107	0,749253	0,671479	0,673630	0,677147	0,657082
0,775415	0,695054	0,686625	0,662933	0,682867	0,700875	0,666183	0,714998	0,657051	0,689371	0,708659	0,678630	0,716211	0,662949	0,768157	0,698461	0,663006	0,767559	0,659322	0,765791	0,680269	0,759302	0,659690	0,762282	0,756694	0,645614
0,672724	0,674741	0,663172	0,675033	0,660332	0,678117	0,688414	0,863262	0,672535	0,664096	0,680889	0,657052	0,683175	0,765258	0,669734	0,667777	0,672884	0,656778	0,651572	0,673071	0,658292	0,753408	0,673113	0,675786	0,677592	0,659249
0,683418	0,683989	0,675574	0,685727	0,671536	0,687366	0,663543	0,917914	0,764088	0,675300	0,691848	0,664552	0,696579	0,660309	0,682295	0,683697	0,685445	0,667866	0,656682	0,685632	0,668369	0,747012	0,758854	0,689535	0,693787	0,670337
0,697632	0,695290	0,688846	0,779064	0,683112	0,699856	0,672277	0,722367	0,663045	0,688579	0,705073	0,680009	0,712371	0,669043	0,693596	0,695000	0,770216	0,683323	0,665416	0,698122	0,680514	0,761201	0,661996	0,703282	0,710100	0,771501
0,677748	0,675263	0,667234	0,680050	0,664395	0,678639	0,690126	0,865348	0,674659	0,668159	0,681411	0,657597	0,683697	0,689280	0,674758	0,671840	0,677902	0,662039	0,766909	0,678095	0,658837	0,757579	0,675346	0,680809	0,682615	0,664503
