x	AA	KK	QQ	JJ	TT	AKs	99	AQs	AKo	AJs	KQs	88	ATs	AQo	KJs	KTs	QJs	AJo	KQo	QTs	A9s	77	ATo	JTs	KJo
K4o	0,884136	0,937473	0,722057	0,721826	0,720902	0,774816	0,716857	0,665776	0,767160	0,666614	0,752079	0,707172	0,667452	0,648378	0,743041	0,731240	0,473663	0,649308	0,740599	0,476817	0,656458	0,705636	0,650239	0,488720	0,731122
75s	0,790221	0,787449	0,791554	0,790350	0,793246	0,622588	0,803151	0,626458	0,596903	0,626193	0,627100	0,815643	0,629260	0,601008	0,626835	0,629901	0,634360	0,600868	0,601613	0,637426	0,625138	0,830017	0,604138	0,643257	0,601472
T5s	0,829502	0,829428	0,832182	0,834818	0,875388	0,658109	0,681013	0,660950	0,634051	0,663791	0,666903	0,675681	0,726311	0,637205	0,669744	0,720691	0,678391	0,640359	0,643459	0,718721	0,623036	0,669808	0,716493	0,716968	0,646612
Q6o	0,872578	0,875549	0,930691	0,723261	0,720688	0,688569	0,714251	0,763918	0,673138	0,662381	0,761752	0,708440	0,662295	0,755345	0,673134	0,673049	0,742828	0,644726	0,753333	0,730934	0,649902	0,701960	0,644782	0,488774	0,656292
J3s	0,837610	0,837536	0,840290	0,882643	0,690857	0,664988	0,683466	0,667829	0,641329	0,733423	0,673782	0,679791	0,639427	0,644483	0,727722	0,647127	0,725671	0,724153	0,650736	0,657522	0,625542	0,670345	0,614434	0,697676	0,718190
95s	0,819043	0,815130	0,817362	0,819997	0,822893	0,646477	0,860811	0,646213	0,621682	0,648565	0,649372	0,675470	0,651631	0,621547	0,651725	0,654791	0,660043	0,624180	0,624935	0,663109	0,713080	0,669756	0,627450	0,671679	0,627567
87o	0,813445	0,817753	0,821136	0,829008	0,842861	0,642423	0,857192	0,645567	0,623898	0,643853	0,662016	0,868054	0,645241	0,627295	0,651040	0,649642	0,662033	0,626006	0,644875	0,660318	0,641753	0,642997	0,628058	0,667482	0,633659
85s	0,802606	0,803884	0,802798	0,804912	0,807808	0,634502	0,818235	0,634237	0,609260	0,636590	0,639013	0,845589	0,639656	0,609120	0,638749	0,641815	0,644658	0,611752	0,613969	0,647724	0,636023	0,669214	0,615022	0,655964	0,613835
97o	0,830978	0,829643	0,833038	0,844493	0,858915	0,655038	0,884331	0,658183	0,637302	0,656468	0,663319	0,702944	0,657856	0,640704	0,661605	0,662992	0,672617	0,639415	0,646382	0,673688	0,726746	0,654087	0,641468	0,683342	0,645093
T4s	0,829509	0,829435	0,832189	0,834825	0,875395	0,658467	0,684861	0,661308	0,634433	0,664149	0,667261	0,676113	0,727450	0,637587	0,670102	0,721789	0,678749	0,640740	0,643841	0,719779	0,624519	0,669720	0,717690	0,717986	0,646994
K3o	0,888555	0,941864	0,726047	0,725817	0,724892	0,779723	0,716894	0,669506	0,772399	0,670344	0,756707	0,712852	0,671182	0,652378	0,747628	0,735786	0,474605	0,653308	0,745543	0,477760	0,656921	0,708150	0,654239	0,489663	0,736024
J2s	0,841668	0,841594	0,844348	0,886643	0,694491	0,668518	0,687099	0,671359	0,645064	0,738002	0,677312	0,679799	0,642957	0,648218	0,732260	0,650657	0,730169	0,729096	0,654472	0,661052	0,629072	0,675544	0,618163	0,701874	0,723092
54s	0,789064	0,774829	0,774884	0,774820	0,778571	0,613382	0,780984	0,614199	0,587581	0,615015	0,616261	0,787096	0,618885	0,588465	0,617077	0,620947	0,620468	0,589349	0,590394	0,624337	0,616674	0,798469	0,593454	0,627650	0,591278
Q5o	0,875354	0,875281	0,930421	0,719040	0,722110	0,691542	0,712507	0,768395	0,676501	0,662087	0,762566	0,706126	0,666192	0,760270	0,669921	0,674026	0,739778	0,644570	0,754153	0,732008	0,651007	0,699647	0,649019	0,488160	0,652818
64s	0,791464	0,791518	0,791573	0,795560	0,794119	0,623462	0,796532	0,624279	0,597679	0,628149	0,627764	0,805963	0,627884	0,598563	0,631634	0,631369	0,635025	0,602668	0,602325	0,634760	0,625673	0,817857	0,602528	0,642207	0,606429
T3s	0,833566	0,833493	0,836247	0,838882	0,879395	0,661938	0,684868	0,664779	0,638105	0,667620	0,670732	0,681312	0,731971	0,641259	0,673573	0,726270	0,682220	0,644413	0,647513	0,724219	0,624937	0,672024	0,722571	0,722386	0,650666
22	0,822167	0,818126	0,818474	0,818695	0,818664	0,498933	0,817826	0,502144	0,473508	0,505356	0,512585	0,816481	0,508567	0,477017	0,515796	0,519007	0,525480	0,480526	0,488250	0,528692	0,497027	0,818676	0,484035	0,538384	0,491758
K2o	0,892991	0,946266	0,730055	0,729824	0,728899	0,784712	0,720901	0,673320	0,777715	0,674158	0,761387	0,712906	0,674996	0,656457	0,752267	0,740384	0,475573	0,657388	0,750534	0,478727	0,660735	0,713847	0,658318	0,490631	0,740973
74s	0,806673	0,803900	0,808006	0,806801	0,808679	0,635104	0,811092	0,638973	0,609906	0,638709	0,639615	0,821044	0,641061	0,614011	0,639350	0,641702	0,646875	0,613871	0,614615	0,646610	0,638850	0,847147	0,616503	0,652441	0,614475
76o	0,813325	0,813392	0,817842	0,821098	0,828718	0,638805	0,842051	0,642910	0,619971	0,646054	0,646443	0,855876	0,644340	0,624414	0,649587	0,647873	0,666778	0,627810	0,628279	0,655802	0,640331	0,865481	0,626521	0,666714	0,631675
T2s	0,837624	0,837550	0,840304	0,842940	0,883395	0,665468	0,688501	0,668309	0,641841	0,671150	0,674262	0,681319	0,736550	0,644994	0,677103	0,730809	0,685750	0,648148	0,651248	0,728718	0,628467	0,677222	0,727514	0,726844	0,654402
Q4o	0,879761	0,879688	0,934804	0,723018	0,722136	0,695194	0,718175	0,773226	0,680425	0,665739	0,767357	0,708628	0,666578	0,765434	0,673574	0,674412	0,744319	0,648495	0,759275	0,732862	0,655583	0,701579	0,649425	0,488190	0,656742
J6o	0,872573	0,875543	0,878514	0,931976	0,723398	0,688567	0,717614	0,691482	0,673129	0,765973	0,700439	0,711930	0,664303	0,676445	0,763807	0,675056	0,761880	0,757562	0,686148	0,685654	0,652490	0,705631	0,646950	0,736376	0,755549
84s	0,819058	0,820336	0,819250	0,821363	0,823762	0,647017	0,826175	0,646753	0,622263	0,649105	0,651529	0,862758	0,651946	0,622123	0,651264	0,653616	0,657173	0,624755	0,626972	0,659525	0,649735	0,676907	0,627908	0,667765	0,626838
94s	0,835494	0,831581	0,833813	0,836449	0,838848	0,658993	0,877980	0,658728	0,634684	0,661080	0,661887	0,683164	0,663921	0,634550	0,664240	0,667081	0,672558	0,637182	0,637937	0,675399	0,727990	0,677449	0,640336	0,683968	0,640570
86o	0,826474	0,830923	0,829730	0,832999	0,844202	0,651359	0,858104	0,650962	0,633310	0,654113	0,658997	0,882170	0,655184	0,633036	0,662141	0,660427	0,668020	0,636439	0,641617	0,666306	0,651696	0,700628	0,638162	0,677237	0,645020
T6o	0,855039	0,858010	0,860981	0,864250	0,914240	0,675773	0,712803	0,678689	0,659530	0,681839	0,687645	0,707245	0,753011	0,662845	0,690796	0,750845	0,699597	0,666248	0,672548	0,748919	0,640604	0,701115	0,743685	0,762230	0,675951
96o	0,844007	0,842813	0,845214	0,848484	0,860256	0,663974	0,898531	0,663578	0,646713	0,666728	0,669556	0,707102	0,667799	0,646445	0,672706	0,673777	0,681152	0,649848	0,653051	0,682223	0,738710	0,701140	0,651572	0,693097	0,656454
53s	0,805517	0,791282	0,791337	0,791273	0,795024	0,625959	0,793100	0,626775	0,600648	0,627592	0,628837	0,795038	0,631461	0,601532	0,629654	0,633523	0,633044	0,602417	0,603461	0,636914	0,625919	0,803871	0,606521	0,640227	0,604346
93s	0,835501	0,831588	0,833820	0,836456	0,838855	0,659410	0,877987	0,659145	0,635129	0,661497	0,662305	0,687012	0,664338	0,634995	0,664657	0,667498	0,672975	0,637627	0,638382	0,675816	0,729186	0,677881	0,640781	0,684386	0,641015
Q3o	0,884181	0,884107	0,939195	0,727009	0,726126	0,698924	0,718212	0,778133	0,684425	0,669469	0,772223	0,714308	0,670307	0,770673	0,677304	0,678142	0,748906	0,652495	0,764472	0,737409	0,656046	0,704093	0,653425	0,489133	0,660742
J5o	0,870980	0,870906	0,873877	0,927343	0,723376	0,688279	0,713856	0,691194	0,672980	0,766805	0,697232	0,707602	0,665317	0,676295	0,760976	0,673151	0,759009	0,758544	0,682680	0,683749	0,650191	0,701303	0,648206	0,733285	0,752427
63s	0,807915	0,807970	0,808025	0,812012	0,810571	0,636037	0,811965	0,636853	0,610745	0,640723	0,640339	0,813903	0,640458	0,611629	0,644208	0,643944	0,647599	0,615734	0,615390	0,647334	0,637533	0,823258	0,615594	0,654782	0,619495
43s	0,809590	0,795355	0,795410	0,795347	0,795047	0,629453	0,798314	0,630270	0,604336	0,631086	0,632332	0,800252	0,631903	0,605220	0,633148	0,633965	0,636539	0,606105	0,607149	0,637355	0,630495	0,805767	0,606989	0,640668	0,608034
92s	0,839559	0,835646	0,837878	0,840513	0,842912	0,662940	0,881987	0,662675	0,638865	0,665027	0,665835	0,687019	0,667868	0,638730	0,668187	0,671028	0,676505	0,641363	0,642118	0,679346	0,733765	0,683080	0,644516	0,687916	0,644750
73s	0,823124	0,820352	0,824457	0,823253	0,825130	0,647678	0,827046	0,651548	0,622972	0,651283	0,652189	0,828984	0,653635	0,627077	0,651924	0,654277	0,659449	0,626937	0,627681	0,659185	0,651199	0,864316	0,629569	0,665016	0,627541
65o	0,813078	0,813136	0,813204	0,817527	0,820532	0,639171	0,827632	0,640009	0,620345	0,644114	0,643536	0,840458	0,647259	0,621269	0,647641	0,650785	0,651075	0,625712	0,625128	0,654219	0,640148	0,853646	0,629109	0,671329	0,629571
Q2o	0,888616	0,888543	0,943597	0,731016	0,730133	0,702738	0,722219	0,783122	0,688505	0,673283	0,777171	0,714362	0,674121	0,775989	0,681117	0,681956	0,753545	0,656574	0,769746	0,742007	0,659860	0,709790	0,657505	0,490101	0,664821
J4o	0,875387	0,875313	0,878284	0,931726	0,723401	0,691931	0,719524	0,694847	0,676904	0,771636	0,700884	0,710104	0,665703	0,680220	0,765767	0,673537	0,763758	0,763708	0,686604	0,684134	0,654767	0,703236	0,648612	0,734140	0,757549
83s	0,835509	0,836787	0,835701	0,837815	0,840214	0,659592	0,842130	0,659327	0,635329	0,661679	0,664103	0,879928	0,664520	0,635189	0,663838	0,666190	0,669747	0,637821	0,640038	0,672099	0,662084	0,684601	0,640974	0,680340	0,639904
75o	0,829260	0,826283	0,830732	0,829413	0,832429	0,651308	0,843112	0,655413	0,633412	0,655016	0,656026	0,856508	0,658167	0,637854	0,655630	0,658780	0,663565	0,637581	0,638401	0,666709	0,653841	0,879317	0,640984	0,672507	0,638128
52s	0,821968	0,807733	0,807788	0,807725	0,811475	0,638592	0,809551	0,639408	0,613777	0,640225	0,641470	0,810470	0,644095	0,614661	0,642287	0,646157	0,645678	0,615545	0,616590	0,649547	0,638553	0,811811	0,619650	0,652860	0,617475
85o	0,842409	0,843814	0,842621	0,844896	0,847913	0,663862	0,859165	0,663465	0,646750	0,665860	0,668580	0,896090	0,669010	0,646477	0,668184	0,671334	0,674063	0,649223	0,651740	0,677213	0,665205	0,704506	0,652625	0,685578	0,651473
82s	0,835516	0,836794	0,835708	0,837822	0,840221	0,660068	0,842137	0,659803	0,635837	0,662156	0,664579	0,879935	0,664997	0,635697	0,664315	0,666667	0,670224	0,638329	0,640546	0,672576	0,662560	0,688449	0,641482	0,680816	0,640412
T5o	0,870974	0,870901	0,873872	0,876716	0,928218	0,688276	0,716682	0,691191	0,672971	0,694107	0,697229	0,711123	0,768860	0,676286	0,700145	0,763031	0,708945	0,679601	0,682671	0,761064	0,652317	0,704993	0,760760	0,759318	0,685986
95o	0,859941	0,855704	0,858105	0,860950	0,863967	0,676477	0,912493	0,676081	0,660154	0,678475	0,679139	0,710980	0,681625	0,659886	0,681534	0,684684	0,689980	0,662632	0,663173	0,693130	0,754550	0,705018	0,666035	0,701850	0,665919
J3o	0,879806	0,879732	0,882703	0,936117	0,727392	0,695661	0,719562	0,698577	0,680904	0,776543	0,704614	0,715784	0,669433	0,684220	0,770633	0,677267	0,768584	0,768946	0,690604	0,687864	0,655231	0,705750	0,652612	0,738686	0,762746
62s	0,824367	0,824421	0,824476	0,828463	0,827022	0,648670	0,828416	0,649487	0,623874	0,653356	0,652972	0,829857	0,653092	0,624758	0,656842	0,656577	0,660233	0,628863	0,628519	0,659968	0,650167	0,831198	0,628723	0,667415	0,632624
54o	0,828141	0,812906	0,812974	0,812916	0,816986	0,641582	0,819471	0,642420	0,623484	0,643258	0,644601	0,826065	0,647363	0,624408	0,645439	0,649544	0,648873	0,625333	0,626260	0,652978	0,645111	0,838255	0,629776	0,656331	0,627184
42s	0,826044	0,811809	0,811864	0,811800	0,811500	0,642090	0,814768	0,642906	0,617467	0,643723	0,644968	0,812369	0,644539	0,618352	0,645785	0,646601	0,649176	0,619236	0,620281	0,649992	0,643132	0,813709	0,620120	0,653305	0,621165
T4o	0,871012	0,870938	0,873909	0,876754	0,928238	0,688668	0,720905	0,691583	0,673383	0,694499	0,697621	0,711611	0,770046	0,676699	0,700537	0,764177	0,709337	0,680014	0,683083	0,762168	0,654011	0,704911	0,761982	0,760381	0,686398
J2o	0,884241	0,884168	0,887139	0,940519	0,731399	0,699475	0,723569	0,702390	0,684984	0,781532	0,708428	0,715838	0,673246	0,688299	0,775581	0,681081	0,773490	0,774262	0,694684	0,691678	0,659044	0,711447	0,656691	0,743284	0,768020
72s	0,839576	0,836803	0,840908	0,839704	0,841581	0,660311	0,843497	0,664181	0,636101	0,663916	0,664822	0,844938	0,666269	0,640206	0,664558	0,666910	0,672083	0,640066	0,640810	0,671818	0,663832	0,881485	0,642698	0,677649	0,640670
64o	0,830644	0,830701	0,830769	0,835093	0,833521	0,652354	0,836018	0,653192	0,634348	0,657297	0,656718	0,846194	0,656900	0,635272	0,660823	0,660427	0,664257	0,639715	0,639131	0,663861	0,654654	0,858953	0,639441	0,671715	0,643574
T3o	0,875431	0,875357	0,878328	0,881173	0,932629	0,692397	0,720943	0,695313	0,677383	0,698229	0,701351	0,717292	0,774953	0,680699	0,704267	0,769043	0,713067	0,684014	0,687083	0,766993	0,654474	0,707425	0,767220	0,765166	0,690398
32s	0,830125	0,815890	0,815945	0,815882	0,815582	0,645656	0,814799	0,646473	0,621227	0,647289	0,648535	0,817591	0,648106	0,622111	0,649351	0,650168	0,652742	0,622995	0,624040	0,653558	0,643645	0,818932	0,623879	0,656871	0,624924
74o	0,846825	0,843848	0,848297	0,846978	0,849001	0,664490	0,851498	0,668595	0,647414	0,668199	0,669209	0,862244	0,670593	0,651857	0,668812	0,671207	0,676748	0,651584	0,652404	0,676351	0,668347	0,897889	0,654329	0,682149	0,652131
84o	0,859974	0,861379	0,860186	0,862461	0,865053	0,677044	0,867551	0,676648	0,660753	0,679042	0,681763	0,914705	0,681958	0,660480	0,681366	0,683761	0,687245	0,663225	0,665743	0,689640	0,679712	0,712631	0,666541	0,698005	0,665475
T2o	0,879867	0,879793	0,882764	0,885609	0,937031	0,696211	0,724950	0,699127	0,681463	0,702043	0,705165	0,717346	0,779942	0,684778	0,708080	0,773991	0,716881	0,688093	0,691163	0,771900	0,658288	0,713122	0,772536	0,770032	0,694478
94o	0,877507	0,873269	0,875670	0,878515	0,881108	0,689660	0,931124	0,689263	0,674156	0,691657	0,692322	0,719105	0,694573	0,673889	0,694716	0,697632	0,703162	0,676635	0,677176	0,706078	0,770753	0,713142	0,679950	0,714798	0,679922
53o	0,845719	0,830484	0,830551	0,830493	0,834564	0,654842	0,832473	0,655680	0,637562	0,656518	0,657861	0,834463	0,660623	0,638487	0,658699	0,662804	0,662133	0,639411	0,640338	0,666238	0,654830	0,844003	0,643854	0,669591	0,641262
93o	0,877557	0,873319	0,875720	0,878565	0,881157	0,690129	0,931152	0,689732	0,674644	0,692127	0,692791	0,723341	0,695043	0,674377	0,695186	0,698101	0,703632	0,677123	0,677664	0,706547	0,772015	0,713643	0,680438	0,715267	0,680410
63o	0,848221	0,848279	0,848347	0,852670	0,851098	0,665614	0,852601	0,666452	0,648426	0,670557	0,669978	0,854592	0,670160	0,649350	0,674083	0,673687	0,677517	0,653793	0,653209	0,677121	0,667158	0,864702	0,653519	0,684975	0,657652
43o	0,850126	0,834891	0,834958	0,834900	0,834589	0,658554	0,838140	0,659392	0,641550	0,660230	0,661573	0,840119	0,661068	0,642474	0,662411	0,663249	0,665845	0,643399	0,644325	0,666683	0,659776	0,846076	0,644323	0,670036	0,645250
92o	0,881992	0,877754	0,880156	0,883001	0,885593	0,693943	0,935554	0,693546	0,678724	0,695941	0,696605	0,723395	0,698856	0,678456	0,698999	0,701915	0,707445	0,681202	0,681744	0,710361	0,777004	0,719339	0,684517	0,719081	0,684489
73o	0,864402	0,861425	0,865875	0,864555	0,866578	0,677750	0,868651	0,681855	0,661493	0,681459	0,682469	0,870642	0,683853	0,665935	0,682072	0,684467	0,690008	0,665662	0,666482	0,689611	0,681372	0,916512	0,668407	0,695409	0,666209
83o	0,877552	0,878957	0,877763	0,880038	0,882631	0,690304	0,884704	0,689908	0,674831	0,692302	0,695023	0,933344	0,695218	0,674558	0,694626	0,697021	0,700505	0,677304	0,679821	0,702900	0,692737	0,720767	0,680619	0,711265	0,679553
52o	0,863313	0,848078	0,848145	0,848087	0,852158	0,668186	0,850066	0,669024	0,651720	0,669862	0,671205	0,851063	0,673967	0,652644	0,672043	0,676148	0,675477	0,653569	0,654495	0,679582	0,668174	0,852418	0,658011	0,682935	0,655420
82o	0,877618	0,879023	0,877830	0,880105	0,882697	0,690858	0,884770	0,690461	0,675399	0,692855	0,695576	0,933383	0,695771	0,675125	0,695180	0,697574	0,701059	0,677871	0,680388	0,703453	0,693290	0,725020	0,681186	0,711818	0,680121
42o	0,867720	0,852485	0,852552	0,852494	0,852183	0,671898	0,855734	0,672736	0,655707	0,673574	0,674917	0,853137	0,674412	0,656632	0,675755	0,676593	0,679189	0,657556	0,658483	0,680027	0,673120	0,854491	0,658481	0,683379	0,659408
62o	0,865815	0,865873	0,865941	0,870264	0,868692	0,678958	0,870195	0,679796	0,662583	0,683901	0,683322	0,871762	0,683504	0,663508	0,687427	0,687031	0,690861	0,667951	0,667367	0,690464	0,680502	0,873116	0,667677	0,698319	0,671810
72o	0,881996	0,879019	0,883469	0,882149	0,884172	0,691094	0,886245	0,695199	0,675650	0,694803	0,695813	0,887812	0,697197	0,680093	0,695416	0,697811	0,703352	0,679819	0,680640	0,702955	0,694716	0,935162	0,682565	0,708753	0,680366
32o	0,872139	0,856904	0,856972	0,856913	0,856602	0,675687	0,855772	0,676525	0,659770	0,677363	0,678706	0,858817	0,678201	0,660695	0,679544	0,680382	0,682978	0,661619	0,662546	0,683816	0,673643	0,860159	0,662544	0,687169	0,663471
