1	"AA"	14	14	1
2	"KK"	13	13	1
3	"QQ"	12	12	1
4	"JJ"	11	11	1
5	"TT"	10	10	1
6	"AKs"	14	13	3
7	"X99"	9	9	1
8	"AQs"	14	12	3
9	"AKo"	14	13	2
10	"AJs"	14	11	3
11	"KQs"	13	12	3
12	"X88"	8	8	1
13	"ATs"	14	10	3
14	"AQo"	14	12	2
15	"KJs"	13	11	3
16	"KTs"	13	10	3
17	"QJs"	12	11	3
18	"AJo"	14	11	2
19	"KQo"	13	12	2
20	"QTs"	12	10	3
21	"A9s"	14	9	3
22	"X77"	7	7	1
23	"ATo"	14	10	2
24	"JTs"	11	10	3
25	"KJo"	13	11	2
26	"A8s"	14	8	3
27	"K9s"	13	9	3
28	"QJo"	12	11	2
29	"A7s"	14	7	3
30	"KTo"	13	10	2
31	"Q9s"	12	9	3
32	"A5s"	14	5	3
33	"X66"	6	6	1
34	"A6s"	14	6	3
35	"QTo"	12	10	2
36	"J9s"	11	9	3
37	"A9o"	14	9	2
38	"T9s"	10	9	3
39	"A4s"	14	4	3
40	"K8s"	13	8	3
41	"JTo"	11	10	2
42	"K7s"	13	7	3
43	"A8o"	14	8	2
44	"A3s"	14	3	3
45	"Q8s"	12	8	3
46	"K9o"	13	9	2
47	"A2s"	14	2	3
48	"K6s"	13	6	3
49	"J8s"	11	8	3
50	"T8s"	10	8	3
51	"A7o"	14	7	2
52	"X55"	5	5	1
53	"Q9o"	12	9	2
54	"X98s"	9	8	3
55	"K5s"	13	5	3
56	"Q7s"	12	7	3
57	"J9o"	11	9	2
58	"A5o"	14	5	2
59	"T9o"	10	9	2
60	"A6o"	14	6	2
61	"K4s"	13	4	3
62	"K8o"	13	8	2
63	"Q6s"	12	6	3
64	"J7s"	11	7	3
65	"T7s"	10	7	3
66	"A4o"	14	4	2
67	"X97s"	9	7	3
68	"K3s"	13	3	3
69	"X87s"	8	7	3
70	"Q5s"	12	5	3
71	"K7o"	13	7	2
72	"X44"	4	4	1
73	"Q8o"	12	8	2
74	"A3o"	14	3	2
75	"K2s"	13	2	3
76	"J8o"	11	8	2
77	"Q4s"	12	4	3
78	"T8o"	10	8	2
79	"J6s"	11	6	3
80	"K6o"	13	6	2
81	"A2o"	14	2	2
82	"T6s"	10	6	3
83	"X98o"	9	8	2
84	"X76s"	7	6	3
85	"X86s"	8	6	3
86	"X96s"	9	6	3
87	"Q3s"	12	3	3
88	"J5s"	11	5	3
89	"K5o"	13	5	2
90	"Q7o"	12	7	2
91	"Q2s"	12	2	3
92	"J4s"	11	4	3
93	"X33"	3	3	1
94	"X65s"	6	5	3
95	"J7o"	11	7	2
96	"T7o"	10	7	2
97	"K4o"	13	4	2
98	"X75s"	7	5	3
99	"T5s"	10	5	3
100	"Q6o"	12	6	2
101	"J3s"	11	3	3
102	"X95s"	9	5	3
103	"X87o"	8	7	2
104	"X85s"	8	5	3
105	"X97o"	9	7	2
106	"T4s"	10	4	3
107	"K3o"	13	3	2
108	"J2s"	11	2	3
109	"X54s"	5	4	3
110	"Q5o"	12	5	2
111	"X64s"	6	4	3
112	"T3s"	10	3	3
113	"X22"	2	2	1
114	"K2o"	13	2	2
115	"X74s"	7	4	3
116	"X76o"	7	6	2
117	"T2s"	10	2	3
118	"Q4o"	12	4	2
119	"J6o"	11	6	2
120	"X84s"	8	4	3
121	"X94s"	9	4	3
122	"X86o"	8	6	2
123	"T6o"	10	6	2
124	"X96o"	9	6	2
125	"X53s"	5	3	3
126	"X93s"	9	3	3
127	"Q3o"	12	3	2
128	"J5o"	11	5	2
129	"X63s"	6	3	3
130	"X43s"	4	3	3
131	"X92s"	9	2	3
132	"X73s"	7	3	3
133	"X65o"	6	5	2
134	"Q2o"	12	2	2
135	"J4o"	11	4	2
136	"X83s"	8	3	3
137	"X75o"	7	5	2
138	"X52s"	5	2	3
139	"X85o"	8	5	2
140	"X82s"	8	2	3
141	"T5o"	10	5	2
142	"X95o"	9	5	2
143	"J3o"	11	3	2
144	"X62s"	6	2	3
145	"X54o"	5	4	2
146	"X42s"	4	2	3
147	"T4o"	10	4	2
148	"J2o"	11	2	2
149	"X72s"	7	2	3
150	"X64o"	6	4	2
151	"T3o"	10	3	2
152	"X32s"	3	2	3
153	"X74o"	7	4	2
154	"X84o"	8	4	2
155	"T2o"	10	2	2
156	"X94o"	9	4	2
157	"X53o"	5	3	2
158	"X93o"	9	3	2
159	"X63o"	6	3	2
160	"X43o"	4	3	2
161	"X92o"	9	2	2
162	"X73o"	7	3	2
163	"X83o"	8	3	2
164	"X52o"	5	2	2
165	"X82o"	8	2	2
166	"X42o"	4	2	2
167	"X62o"	6	2	2
168	"X72o"	7	2	2
169	"X32o"	3	2	2
