94o	53o	93o	63o	43o	92o	73o	83o	52o	82o	42o	62o	72o	32o
0,243645	0,361051	0,242391	0,345789	0,355865	0,237117	0,333644	0,320299	0,346893	0,319731	0,341708	0,331631	0,319486	0,341163
0,374277	0,400803	0,373807	0,394449	0,397032	0,237300	0,385714	0,373573	0,250747	0,240698	0,246592	0,252988	0,238799	0,242421
0,343747	0,342871	0,345810	0,257457	0,341237	0,343863	0,350558	0,338853	0,328521	0,340310	0,326887	0,241146	0,338004	0,324654
0,326555	0,338958	0,324784	0,323052	0,334017	0,324237	0,309827	0,238938	0,326370	0,237718	0,324214	0,310465	0,296718	0,319191
0,317788	0,332656	0,316017	0,318801	0,332211	0,315470	0,303009	0,244486	0,322853	0,243306	0,322408	0,306213	0,289900	0,317385
0,357084	0,358097	0,358780	0,344843	0,355931	0,353825	0,245966	0,356358	0,342918	0,354386	0,340751	0,329663	0,228499	0,335497
0,300325	0,122959	0,300394	0,292229	0,127836	0,298433	0,292252	0,292237	0,104368	0,292290	0,122501	0,284076	0,284099	0,120985
0,245629	0,357348	0,244416	0,342086	0,352162	0,239183	0,328807	0,313855	0,343190	0,313288	0,338005	0,327928	0,314649	0,337460
0,305166	0,330846	0,304346	0,314423	0,319088	0,303476	0,298479	0,253012	0,321043	0,251873	0,318541	0,301835	0,285370	0,318019
0,343838	0,272550	0,345507	0,358630	0,339821	0,344082	0,350255	0,338550	0,256239	0,340529	0,325470	0,346076	0,337701	0,323759
0,345075	0,345211	0,346616	0,330495	0,343056	0,341878	0,249588	0,343081	0,330544	0,341226	0,328388	0,315828	0,233310	0,323371
0,248846	0,354294	0,247675	0,337329	0,349108	0,242484	0,323012	0,305392	0,340136	0,304825	0,334951	0,323171	0,308855	0,334406
0,349910	0,261858	0,351747	0,366253	0,340664	0,350444	0,357355	0,348755	0,244546	0,351004	0,325814	0,353328	0,344430	0,324141
0,253062	0,347045	0,251932	0,332055	0,346575	0,246783	0,315070	0,297192	0,332887	0,296624	0,332417	0,317897	0,300913	0,331873
0,359741	0,359516	0,362007	0,262168	0,357919	0,360212	0,367615	0,359016	0,344342	0,360773	0,342745	0,244710	0,354304	0,340644
0,247620	0,373387	0,349134	0,361863	0,270924	0,347709	0,353489	0,342177	0,360833	0,343762	0,254613	0,349309	0,340935	0,324604
0,364669	0,362663	0,362776	0,347401	0,357483	0,362215	0,335255	0,241485	0,349162	0,240153	0,346996	0,333331	0,321185	0,341735
0,342311	0,343303	0,344374	0,262532	0,341669	0,342427	0,347722	0,340208	0,328952	0,341665	0,327318	0,246261	0,335168	0,325085
0,335140	0,342536	0,336681	0,326631	0,340381	0,331943	0,253203	0,333617	0,327869	0,331762	0,325713	0,311963	0,236965	0,320696
0,326373	0,339178	0,327914	0,322538	0,338734	0,323176	0,259119	0,324748	0,324511	0,322893	0,324066	0,307871	0,242922	0,319048
0,250042	0,379507	0,355848	0,369919	0,260143	0,354545	0,361021	0,352850	0,366519	0,354671	0,242832	0,356994	0,348096	0,325109
0,338294	0,338050	0,337515	0,318843	0,335555	0,332521	0,268979	0,319205	0,323382	0,317350	0,320887	0,304175	0,252823	0,320365
0,383490	0,283520	0,247560	0,270893	0,279365	0,347712	0,259902	0,245203	0,364067	0,347389	0,360296	0,352543	0,344562	0,252962
0,511551	0,333908	0,504488	0,315062	0,331433	0,504414	0,266660	0,332065	0,321807	0,331235	0,321879	0,302549	0,265562	0,310045
0,342402	0,277625	0,344071	0,359061	0,340252	0,342646	0,347419	0,339905	0,261355	0,341884	0,325901	0,346507	0,334866	0,324190
0,361540	0,360943	0,363236	0,345112	0,358777	0,358281	0,255363	0,356421	0,345763	0,354449	0,343597	0,329932	0,237939	0,338342
0,322345	0,302933	0,310623	0,301562	0,124499	0,308662	0,301879	0,302159	0,294780	0,302212	0,105992	0,293409	0,293726	0,125813
0,353757	0,359002	0,351864	0,343739	0,353822	0,351303	0,330461	0,243671	0,345501	0,242380	0,343335	0,329669	0,316391	0,338074
0,391361	0,276060	0,250034	0,279123	0,271579	0,354594	0,263825	0,252002	0,370203	0,358790	0,366150	0,361107	0,352209	0,241126
0,387035	0,410564	0,386506	0,401541	0,406793	0,245876	0,397489	0,382081	0,270473	0,245109	0,266318	0,257846	0,246855	0,262087
0,343063	0,356008	0,341171	0,339043	0,350829	0,340609	0,324727	0,247064	0,342508	0,245815	0,340341	0,325542	0,310657	0,335080
0,249715	0,373818	0,347698	0,362294	0,275999	0,346273	0,350653	0,343532	0,361264	0,345117	0,259729	0,349741	0,338099	0,325035
0,333627	0,349277	0,331734	0,334287	0,348813	0,331173	0,317302	0,252666	0,338789	0,251459	0,338326	0,320786	0,303232	0,333065
0,343783	0,345237	0,345846	0,267306	0,343603	0,343899	0,352616	0,342201	0,330887	0,343658	0,329253	0,251076	0,340062	0,327020
0,361538	0,359259	0,363803	0,267509	0,357662	0,361868	0,368537	0,356419	0,344408	0,358036	0,342811	0,250092	0,355548	0,340570
0,395376	0,422944	0,394879	0,416595	0,418890	0,248315	0,407703	0,394628	0,262183	0,251993	0,257702	0,265247	0,249957	0,253202
0,335016	0,342440	0,337079	0,273369	0,341995	0,335132	0,344219	0,333333	0,328089	0,334790	0,327645	0,257180	0,331665	0,325412
0,319949	0,347174	0,319113	0,329516	0,334809	0,318229	0,312382	0,261472	0,336686	0,260306	0,334247	0,316015	0,298312	0,333702
0,516437	0,341408	0,512440	0,305010	0,343803	0,503349	0,370896	0,502507	0,328087	0,495420	0,330482	0,285523	0,362912	0,327929
0,525166	0,338892	0,518521	0,283186	0,339202	0,518447	0,336357	0,369152	0,326791	0,368363	0,329648	0,282087	0,323844	0,327075
0,373321	0,341571	0,372584	0,283837	0,341861	0,370802	0,338574	0,327790	0,327220	0,329247	0,327510	0,267689	0,326020	0,326988
0,382054	0,288268	0,249654	0,275641	0,284113	0,346276	0,261005	0,250470	0,364498	0,348744	0,360727	0,352974	0,341726	0,258078
0,341107	0,283989	0,342776	0,356887	0,341345	0,341350	0,349436	0,339131	0,267759	0,341110	0,326995	0,344333	0,336883	0,325283
0,361618	0,283723	0,363454	0,376719	0,355433	0,362089	0,368187	0,356070	0,266307	0,358256	0,340582	0,363731	0,355199	0,338910
0,362802	0,362296	0,364498	0,346464	0,360129	0,359544	0,258859	0,360843	0,347116	0,358871	0,344949	0,331284	0,241476	0,339695
0,385599	0,410995	0,385070	0,401972	0,407224	0,247971	0,394653	0,383436	0,275221	0,250376	0,271066	0,262594	0,247958	0,266835
0,252579	0,374911	0,346403	0,360121	0,282363	0,344978	0,352670	0,342758	0,362358	0,344343	0,266133	0,347567	0,340116	0,326128
0,456188	0,355524	0,327619	0,343728	0,349795	0,313771	0,333887	0,324235	0,304213	0,312666	0,298424	0,303178	0,303832	0,107966
0,521989	0,344176	0,518533	0,406173	0,357615	0,512096	0,502082	0,507738	0,336097	0,503717	0,346490	0,400760	0,487985	0,349227
0,352109	0,359344	0,353805	0,342379	0,357178	0,348850	0,262412	0,350641	0,344164	0,348669	0,341998	0,327199	0,245071	0,336743
0,342672	0,355796	0,344368	0,337793	0,355333	0,339414	0,268401	0,341096	0,340616	0,339123	0,340153	0,322613	0,251102	0,334898
0,259032	0,392184	0,367555	0,380385	0,282009	0,366190	0,371853	0,360165	0,379196	0,361922	0,264593	0,367397	0,358865	0,339878
0,530359	0,326090	0,526363	0,359339	0,348946	0,517690	0,404541	0,516400	0,306611	0,509731	0,335942	0,346427	0,399016	0,336695
0,343354	0,291211	0,345416	0,362848	0,344347	0,343991	0,352497	0,341670	0,275023	0,343649	0,329996	0,350294	0,339943	0,328285
0,359818	0,359684	0,362084	0,272730	0,358087	0,360149	0,365443	0,357719	0,344833	0,359335	0,343236	0,255356	0,352455	0,340994
0,380759	0,294305	0,252518	0,278032	0,290150	0,344981	0,267560	0,253853	0,365591	0,347971	0,361821	0,350801	0,343743	0,264482
0,411079	0,301827	0,410382	0,357675	0,344773	0,408959	0,346852	0,336127	0,285679	0,338105	0,330423	0,345121	0,334298	0,329901
0,542396	0,350027	0,534870	0,329745	0,347615	0,534813	0,275823	0,348769	0,337511	0,347929	0,337741	0,316800	0,274696	0,325300
0,539087	0,302022	0,532443	0,355356	0,342475	0,532369	0,344635	0,402879	0,300924	0,402130	0,332921	0,342843	0,332122	0,333655
0,355382	0,354430	0,354593	0,333759	0,351991	0,349366	0,278627	0,335159	0,339250	0,333186	0,336811	0,318579	0,261369	0,336272
0,258131	0,373805	0,346276	0,363205	0,291175	0,344850	0,352963	0,342530	0,361251	0,344115	0,274986	0,350651	0,340409	0,328288
0,404931	0,297676	0,259023	0,284133	0,293194	0,366239	0,272369	0,256606	0,382880	0,366041	0,378826	0,371082	0,362979	0,262887
0,384303	0,412088	0,383775	0,399799	0,408318	0,250835	0,396670	0,382662	0,281257	0,253760	0,277102	0,264985	0,254513	0,272872
0,623585	0,440812	0,524478	0,490133	0,374283	0,518453	0,504804	0,510782	0,429554	0,507301	0,368496	0,476036	0,490707	0,374732
0,359898	0,288945	0,361735	0,377144	0,355858	0,360369	0,365094	0,357370	0,271570	0,359555	0,341007	0,364156	0,352106	0,339335
0,635758	0,397942	0,532646	0,438940	0,349620	0,526209	0,516165	0,521851	0,385112	0,517830	0,341541	0,427611	0,502068	0,357197
0,380632	0,299145	0,258070	0,287037	0,298635	0,344854	0,273393	0,259166	0,364485	0,347742	0,363981	0,353885	0,344036	0,273336
0,465999	0,477025	0,465934	0,472455	0,471707	0,331755	0,472760	0,460736	0,346419	0,329689	0,340354	0,335128	0,325892	0,334233
0,408946	0,433435	0,408386	0,424251	0,429382	0,257305	0,420336	0,403742	0,283799	0,256598	0,279318	0,270256	0,258501	0,274754
0,649475	0,385024	0,540475	0,371154	0,328446	0,531802	0,437348	0,530512	0,372112	0,523843	0,308967	0,358242	0,425948	0,341810
0,547469	0,357703	0,543125	0,316313	0,360447	0,533553	0,389923	0,532643	0,343868	0,525100	0,346612	0,295903	0,381927	0,344125
0,384176	0,410982	0,383648	0,402883	0,410478	0,256386	0,396963	0,382434	0,286097	0,259072	0,285588	0,273989	0,260346	0,281357
0,260924	0,392608	0,365836	0,380810	0,287231	0,364470	0,368760	0,361464	0,379620	0,363222	0,269856	0,367822	0,355772	0,340302
0,361221	0,361746	0,363487	0,277594	0,360149	0,361552	0,370575	0,359691	0,346895	0,361308	0,345298	0,260261	0,357587	0,343056
0,663540	0,380731	0,546555	0,367171	0,303292	0,546481	0,356509	0,435799	0,368629	0,435092	0,302194	0,354658	0,343996	0,338308
0,475008	0,382990	0,444943	0,369489	0,302950	0,441921	0,358726	0,348001	0,370436	0,349979	0,286802	0,356935	0,346172	0,334514
0,556809	0,354883	0,549712	0,293584	0,355484	0,549661	0,353134	0,388544	0,342373	0,387751	0,345615	0,292466	0,340195	0,343101
0,351785	0,358809	0,354051	0,283744	0,358345	0,352115	0,361521	0,350145	0,343958	0,351762	0,343494	0,266452	0,348533	0,341253
0,392920	0,357722	0,392173	0,294609	0,358296	0,390429	0,355475	0,344208	0,342871	0,345825	0,343445	0,277359	0,342487	0,342907
0,562760	0,474948	0,634889	0,591232	0,385343	0,527833	0,608968	0,618283	0,439444	0,521478	0,418843	0,490184	0,504885	0,375259
0,501344	0,312701	0,474947	0,297421	0,308027	0,443176	0,283258	0,269270	0,370793	0,350839	0,366098	0,357402	0,347032	0,286741
0,403211	0,302564	0,260916	0,289021	0,298083	0,364519	0,273318	0,261940	0,383305	0,367341	0,379251	0,371506	0,359885	0,268150
0,358319	0,295535	0,360156	0,374760	0,356992	0,358790	0,367103	0,356360	0,278202	0,358546	0,342141	0,361772	0,354115	0,340469
0,575934	0,358298	0,650231	0,474948	0,357136	0,538360	0,624591	0,633625	0,396926	0,532005	0,395502	0,437612	0,516243	0,344111
0,644585	0,565128	0,639355	0,592183	0,474943	0,532300	0,610200	0,622750	0,466194	0,525945	0,439431	0,491458	0,506451	0,431101
0,504101	0,417290	0,502821	0,406400	0,412595	0,474853	0,399959	0,385530	0,299654	0,269176	0,294980	0,284374	0,270211	0,294395
0,586493	0,339611	0,664468	0,324050	0,338169	0,544474	0,474947	0,647623	0,383926	0,538017	0,382192	0,370115	0,436063	0,310213
0,553244	0,357841	0,549470	0,427284	0,374933	0,542652	0,531566	0,538068	0,349741	0,533707	0,363373	0,422080	0,516928	0,366501
0,407226	0,433860	0,406666	0,424676	0,429806	0,259198	0,417242	0,405042	0,288688	0,261932	0,284206	0,275145	0,259450	0,279643
0,263616	0,393743	0,364257	0,378426	0,293821	0,362891	0,370769	0,360455	0,380755	0,362212	0,276488	0,365438	0,357781	0,341437
0,597018	0,329347	0,678533	0,314067	0,324682	0,559153	0,300143	0,474947	0,380444	0,445206	0,378650	0,366532	0,355870	0,303293
0,562198	0,339040	0,557854	0,377471	0,365333	0,548712	0,426027	0,547341	0,318630	0,540227	0,351821	0,364053	0,420700	0,352916
0,574857	0,508357	0,574356	0,549057	0,480044	0,647627	0,561731	0,564791	0,474854	0,632723	0,383662	0,591846	0,609582	0,382484
0,571539	0,313889	0,564441	0,373035	0,358341	0,564391	0,361836	0,424731	0,312771	0,423980	0,348473	0,360097	0,348898	0,349541
0,594884	0,423728	0,593838	0,412838	0,419040	0,678439	0,406499	0,500758	0,314775	0,474853	0,313273	0,298975	0,285051	0,308523
0,360551	0,302995	0,362816	0,381040	0,360202	0,361450	0,370224	0,358911	0,285703	0,361097	0,345351	0,368052	0,357236	0,343679
0,433462	0,314021	0,432758	0,375486	0,360764	0,431405	0,364177	0,352974	0,296771	0,355160	0,345914	0,362498	0,351189	0,345375
0,401632	0,308821	0,263608	0,291338	0,304339	0,362940	0,280020	0,265201	0,384439	0,366331	0,380386	0,369123	0,361894	0,274782
0,588031	0,455800	0,587403	0,509103	0,454316	0,662969	0,575197	0,578359	0,356644	0,648585	0,355423	0,474854	0,625205	0,353905
0,659864	0,464076	0,555817	0,518097	0,389712	0,549428	0,534403	0,541255	0,452531	0,537464	0,384143	0,503459	0,519765	0,394476
0,660575	0,527396	0,578826	0,550271	0,508349	0,652097	0,563237	0,566361	0,565778	0,634021	0,474854	0,592863	0,610880	0,443836
0,269157	0,392507	0,363935	0,381583	0,303007	0,362569	0,370907	0,360023	0,379519	0,361781	0,285715	0,368595	0,357919	0,343719
0,405647	0,434994	0,405087	0,422292	0,430941	0,261890	0,419251	0,404032	0,294944	0,265192	0,290463	0,277462	0,266152	0,285899
0,598590	0,440774	0,597550	0,429070	0,438980	0,677207	0,509821	0,588817	0,337958	0,662583	0,336456	0,322397	0,474853	0,331714
0,672967	0,418806	0,564561	0,462700	0,363820	0,557743	0,546619	0,553153	0,405477	0,548792	0,355720	0,451082	0,531981	0,375197
0,401310	0,313734	0,269149	0,300636	0,313192	0,362618	0,285877	0,270489	0,383203	0,365900	0,382668	0,372280	0,362033	0,284009
0,611612	0,574080	0,660546	0,604084	0,518218	0,652706	0,637051	0,643991	0,566740	0,638562	0,505376	0,594169	0,615421	0,474842
0,687727	0,404654	0,572945	0,390189	0,341669	0,563803	0,461486	0,562426	0,391236	0,555312	0,321259	0,376770	0,449786	0,358510
0,702870	0,399899	0,579532	0,385752	0,315372	0,579482	0,374617	0,460305	0,387389	0,459595	0,314253	0,372814	0,361678	0,354636
0,405325	0,433758	0,404765	0,425449	0,433223	0,267431	0,419390	0,403601	0,299857	0,270480	0,299316	0,286760	0,272008	0,294752
0,500000	0,402286	0,470122	0,388203	0,315343	0,467028	0,376958	0,365754	0,389298	0,367940	0,298093	0,375215	0,363970	0,350429
0,597714	0,500000	0,672092	0,624830	0,403828	0,559585	0,644253	0,654479	0,463253	0,552636	0,442337	0,518593	0,534931	0,391596
0,529878	0,327908	0,500000	0,311369	0,322982	0,468331	0,296041	0,280906	0,389860	0,369077	0,384931	0,375917	0,365101	0,298114
0,611797	0,375170	0,688631	0,500000	0,374064	0,570913	0,661108	0,671018	0,418212	0,563964	0,416826	0,461919	0,547148	0,358610
0,684657	0,596172	0,677018	0,625936	0,500000	0,564514	0,645675	0,659400	0,492054	0,557559	0,463253	0,520043	0,536699	0,452275
0,532972	0,440415	0,531669	0,429087	0,435486	0,500000	0,422458	0,406778	0,314032	0,280898	0,309105	0,297493	0,282173	0,308481
0,623042	0,355747	0,703959	0,338892	0,354325	0,577542	0,500000	0,686093	0,403972	0,570484	0,402266	0,389569	0,460738	0,322750
0,634246	0,345521	0,719094	0,328982	0,340600	0,593222	0,313907	0,500000	0,400125	0,470556	0,398356	0,385613	0,374477	0,315584
0,610702	0,536747	0,610140	0,581788	0,507946	0,685968	0,596028	0,599875	0,500000	0,670143	0,402624	0,626003	0,645434	0,401498
0,632060	0,447364	0,630923	0,436036	0,442441	0,719102	0,429516	0,529444	0,329857	0,500000	0,328372	0,312750	0,297683	0,323363
0,701907	0,557663	0,615069	0,583174	0,536747	0,690895	0,597734	0,601644	0,597376	0,671628	0,500000	0,627173	0,646920	0,468198
0,624785	0,481407	0,624083	0,538081	0,479957	0,702507	0,610431	0,614387	0,373997	0,687250	0,372827	0,500000	0,662289	0,371323
0,636030	0,465069	0,634899	0,452852	0,463301	0,717827	0,539262	0,625523	0,354566	0,702317	0,353080	0,337711	0,500000	0,348077
0,649571	0,608404	0,701886	0,641390	0,547725	0,691519	0,677250	0,684416	0,598502	0,676637	0,531802	0,628677	0,651923	0,500000
